name,initial,rating,totalRatings,address,distance,phone,tags,hasWhatsApp,hasEnquiry,isTrusted,isVerified,isPopular,category,subcategory,city,timestamp
Maa Bhagwati Institute,M,4.0,910 Ratings,"Ratanada, Jodhpur",,,Computer Hardware Training Institutes; Colleges,true,true,false,false,true,Vocational training,Popular Computer Training Institutes For Basic,Kolar,2025-06-03T18:05:46.965Z
Commerce Legacy,+,4.9,33 Ratings,"ROAD NOOR NAGAR Meerut Road, Ghaziabad",,09054783207,,true,true,false,true,true,Vocational training,Popular Computer Training Institutes For Basic,Kolar,2025-06-03T18:05:46.965Z
Mediversity Education Council,+,4.6,16 Ratings,"Main City Delhi Delhi Cantt, Delhi",,08460303856,Accept Donations; Pay Ahead; CCTV Surveillance,true,true,false,false,true,Vocational training,Popular Computer Training Institutes For Basic,Kolar,2025-06-03T18:05:46.965Z
Dhamma Dipa International Buddhist University,+,4.9,23 Ratings,"Bhiwadi Shona Road Bhiwadi Chowk, Bhiwadi",,09724651849,M Com Colleges; Colleges,true,true,false,true,true,Vocational training,Popular Computer Training Institutes For Basic,Kolar,2025-06-03T18:05:46.965Z
Pkr Institute and Recruitment Services,+,4.9,134 Ratings,"Urban Estate Karnal Sector 6, Karnal",,09980200858,Institutes; Computer Training Institutes,true,true,false,true,true,Vocational training,Popular Computer Training Institutes For Basic,Kolar,2025-06-03T18:05:46.965Z
CADD Centre,C,4.4,31 Ratings,"HIS Road Bangarapet, Kolar",,,Computer Software Training Institutes; Computer Training Institutes,true,true,false,false,true,Vocational training,Popular Computer Training Institutes For Basic,Kolar,2025-06-03T18:05:46.965Z
AL-CADD (The LEARNING SOlUTION),+,5.0,50 Ratings,"Bangarpet-563114. Bangarapet, Kolar",,,Computer Training Institutes; ITI Institutes,true,true,false,false,true,Vocational training,Popular Computer Training Institutes For Basic,Kolar,2025-06-03T18:05:46.965Z
Infomatics Computer Tech Education,+,3.9,32 Ratings,"Santhe Gate Bus Stop Bangarapet, Kolar",,,Computer Training Institutes; Tally Training Institutes,true,true,false,false,false,Vocational training,Popular Computer Training Institutes For Basic,Kolar,2025-06-03T18:05:46.965Z
Silicon Computers,+,4.8,206 Ratings,"Road Antarganga Road Kolar, Kolar",,,Computer Training Institutes; Tally Training Institutes,true,true,false,false,true,Vocational training,Popular Computer Training Institutes For Basic,Kolar,2025-06-03T18:05:46.966Z
Vivek Infotech,+,4.6,57 Ratings,"KSRTC Bus Antarganga Road Kolar, Kolar",,,Computer Training Institutes For Basic; Computer Training Institutes,true,true,false,false,true,Vocational training,Popular Computer Training Institutes For Basic,Kolar,2025-06-03T18:05:46.966Z
AL-CADD (The learning Solution),+,5.0,50 Ratings,"Bnagarpet Bangarpet Bazar, Kolar",,,Computer Training Institutes; SAP Training Institutes,true,true,false,false,true,Vocational training,Popular Computer Training Institutes For Basic,Kolar,2025-06-03T18:05:46.966Z
Virtual Assistant Point,V,4.9,36 Ratings,"Road Robertsonpet Robertsonpet, Kolar",,,Computer Training Institutes; Tally Training Institutes,true,true,false,false,false,Vocational training,Popular Computer Training Institutes For Basic,Kolar,2025-06-03T18:05:46.966Z
Sai Enterprises (Computer Training Center),S,4.0,10 Ratings,"Main Road Bethamangala Kolar, Kolar",,,Computer Training Institutes; MS Excel Training Institutes,true,true,false,false,false,Vocational training,Popular Computer Training Institutes For Basic,Kolar,2025-06-03T18:05:46.966Z
Mict Computers,M,4.6,4 Ratings,"Vemagal Vemgal, Kolar",,,2D Animation Training Institutes; Computer Training Institutes,true,true,false,false,true,Vocational training,Popular Computer Training Institutes For Basic,Kolar,2025-06-03T18:05:46.966Z
Active Computer Academy,A,4.3,4 Ratings,"Talkies Road Gowripet Kolar, Kolar",,,Tally Training Institutes; Computer Training Institutes,true,true,false,false,true,Vocational training,Popular Computer Training Institutes For Basic,Kolar,2025-06-03T18:05:46.966Z
Golden City Education Institute,G,3.3,5 Ratings,"No.299 Bowerlal Pet Robertsonpet, Kolar",,,Computer Training Institutes For Basic; Computer Training Institutes,true,true,false,false,false,Vocational training,Popular Computer Training Institutes For Basic,Kolar,2025-06-03T18:05:46.966Z
Aptech Computer Education,+,4.0,4 Ratings,"Road (Geetha Road) Robertsonpet, Kolar",,,Placement Services (Candidate); Computer Training Institutes,false,true,false,false,true,Vocational training,Popular Computer Training Institutes For Basic,Kolar,2025-06-03T18:05:46.967Z
Supreme Infotech,S,5.0,3 Ratings,"Antharagange Road Kolar Ho, Kolar",,,Accounting Training Institutes; Computer Training Institutes,true,true,false,false,true,Vocational training,Popular Computer Training Institutes For Basic,Kolar,2025-06-03T18:05:46.967Z
Suprem Info Tech,S,4.8,3 Ratings,"Antara Gangi Road Kolar HO, Kolar",,,Accounting Training Institutes; Computer Training Institutes,true,true,false,false,true,Vocational training,Popular Computer Training Institutes For Basic,Kolar,2025-06-03T18:05:46.967Z
SME ACADEMY,+,5.0,2 Ratings,"VEMAGAL Vemgal, Kolar",,,D Ed CET Tutorials; Tutorials,true,true,false,false,true,Vocational training,Popular Computer Training Institutes For Basic,Kolar,2025-06-03T18:05:46.967Z
Elohe Coaching Pvt Ltd,E,4.0,2 Ratings,"HP Unit Main Gate Bangarapet, Kolar",,,Computer Training Institutes; Educational Institutions,true,true,false,false,false,Vocational training,Popular Computer Training Institutes For Basic,Kolar,2025-06-03T18:05:46.967Z
golden computer institute,g,4.0,2 Ratings,"Kysamballi, Kolar",,,Computer Training Institutes; MS Excel Training Institutes,true,true,false,false,false,Vocational training,Popular Computer Training Institutes For Basic,Kolar,2025-06-03T18:05:46.967Z
Gic Gnaneshwari Institute Of Computer,G,3.7,2 Ratings,"Mulbagal Mulbagal, Kolar",,,Computer Training Institutes For Basic; Computer Training Institutes,true,true,false,false,false,Vocational training,Popular Computer Training Institutes For Basic,Kolar,2025-06-03T18:05:46.967Z
NIRMALA COMPUTER EDUCATION INSTITUTE,+,5.0,1 Ratings,"Kolar Fort, Kolar",,,Computer Training Institutes; Tally Training Institutes,true,true,false,false,true,Vocational training,Popular Computer Training Institutes For Basic,Kolar,2025-06-03T18:05:46.967Z
STG Computer Education & Spoken English Course,S,3.0,1 Ratings,"B R Ambedkar Road Robertsonpet, Kolar",,,Language Classes For English Conversation; Computer Training Institutes,true,true,false,false,false,Vocational training,Popular Computer Training Institutes For Basic,Kolar,2025-06-03T18:05:46.967Z
Hi-Tech Computer Education,+,4.7,147 Ratings,"Church Road Church Road, Chintamani",,,Computer Training Institutes For Adobe Photoshop 5; Computer Training Institutes,true,true,false,false,true,Vocational training,Popular Computer Training Institutes For Basic,Kolar,2025-06-03T18:05:46.967Z
N V C T Computer Education Center,N,3.6,3 Ratings,"Tank Bund Road Chintamani Market, Chintamani",,,Computer Training Institutes; MS Excel Training Institutes,true,true,false,false,false,Vocational training,Popular Computer Training Institutes For Basic,Kolar,2025-06-03T18:05:46.967Z
Anabel,A,3.5,2 Ratings,"Anabe Chintamani Chickballapur, Chintamani",,08792898074,Institutes For Distance Education; Correspondence Education,true,true,false,false,false,Vocational training,Popular Computer Training Institutes For Basic,Kolar,2025-06-03T18:05:46.967Z
Madhava Computer Education,+,5.0,6 Ratings,Bangalore,,,Computer Training Institutes; MS Excel Training Institutes,true,true,false,false,false,Vocational training,Popular Computer Training Institutes For Basic,Kolar,2025-06-03T18:05:46.967Z
Softtech Computers,S,4.0,2 Ratings,"Mv Extention Hoskote, Bangalore",,,Web Designing Training Institutes; Computer Training Institutes,true,true,false,false,false,Vocational training,Popular Computer Training Institutes For Basic,Kolar,2025-06-03T18:05:46.967Z
Vidyavarshini Education Centre,+,4.8,90 Ratings,"K R Main Road Hoskote, Bangalore",,,Language Classes; Computer Training Institutes,true,true,false,false,true,Vocational training,Popular Computer Training Institutes For Basic,Kolar,2025-06-03T18:05:46.967Z
Hnc Computertraining Center,+,4.8,40 Ratings,"Hobli doddadunnasandra, Bangalore",,,Computer Training Institutes; Language Classes For English,false,true,false,false,true,Vocational training,Popular Computer Training Institutes For Basic,Kolar,2025-06-03T18:05:46.967Z
G-Tech Computer Education,+,4.8,3 Ratings,"T G Extension Hoskote, Bangalore",,,Computer Training Institutes; MS Excel Training Institutes,true,true,false,false,true,Vocational training,Popular Computer Training Institutes For Basic,Kolar,2025-06-03T18:05:46.967Z
Solinfo Computers,S,3.7,3 Ratings,"PU College Road Hoskote, Bangalore",,,Tally Training Institutes; Computer Training Institutes,false,true,false,false,false,Vocational training,Popular Computer Training Institutes For Basic,Kolar,2025-06-03T18:05:46.967Z
C M T Computer Institute,C,3.5,2 Ratings,"Vysya Bank Road Vijayapaura, Bangalore",,,Computer Training Institutes; Computer Training Institutes For Basic,true,true,false,false,false,Vocational training,Popular Computer Training Institutes For Basic,Kolar,2025-06-03T18:05:46.967Z
YSES Computer Education Center,+,4.7,15 Ratings,"MG Road Sidlaghatta, Chickballapur",,,Computer Training Institutes For Basic; Computer Training Institutes,true,true,false,false,true,Vocational training,Popular Computer Training Institutes For Basic,Kolar,2025-06-03T18:05:46.968Z
Ficus Tesas Pvt Ltd,F,5.0,1 Ratings,"Main Road Channasandra, Bangalore",,,Computer Software Training Institutes; Computer Training Institutes,false,true,false,false,false,Vocational training,Popular Computer Training Institutes For Basic,Kolar,2025-06-03T18:05:46.968Z
ITTC Computer Training,I,3.9,11 Ratings,"SRS Gavvam Apartment Kadugodi, Bangalore",,,Computer Training Institutes; Computer Software Training Institutes,true,true,false,false,true,Vocational training,Popular Computer Training Institutes For Basic,Kolar,2025-06-03T18:05:46.968Z
Sidhivinayak Computer Academy,+,4.9,100 Ratings,"After Kadugudi Flyover Belathur, Bangalore",,,Computer Training Institutes; Language Classes For English Conversation,true,true,false,false,true,Vocational training,Popular Computer Training Institutes For Basic,Kolar,2025-06-03T18:05:46.968Z
Kalinga Infotech,K,4.6,27 Ratings,"Kadugodi Post Channasandra, Bangalore",,,Computer Training Institutes For 3D Studio Max; Computer Training Institutes,true,true,false,false,true,Vocational training,Popular Computer Training Institutes For Basic,Kolar,2025-06-03T18:05:46.968Z
Excellent Infotech Solution,+,4.8,39 Ratings,"Bellathur Colony Kadugodi, Bangalore",,,Language Classes For English; Computer Training Institutes,true,true,false,false,true,Vocational training,Popular Computer Training Institutes For Basic,Kolar,2025-06-03T18:05:46.968Z
Softech Computer Education Center,S,4.9,260 Ratings,"1st A Main Road Whitefield, Bangalore",,,Accounting Training Institutes; Computer Training Institutes,true,true,false,false,true,Vocational training,Popular Computer Training Institutes For Basic,Kolar,2025-06-03T18:05:46.968Z
Stupidskills (E-learning Platform),S,4.2,137 Ratings,"Whitefield Main Road, Bangalore",,,Accounting Training Institutes; Computer Training Institutes,true,true,false,false,true,Vocational training,Popular Computer Training Institutes For Basic,Kolar,2025-06-03T18:05:46.968Z
Hudson Agile Ventures Technology,H,2.9,150 Ratings,"Chasetor Whitefield, Bangalore",,,Computer Training Institutes For Basic; Computer Training Institutes,true,true,false,false,false,Vocational training,Popular Computer Training Institutes For Basic,Kolar,2025-06-03T18:05:46.968Z
Java Trainer,J,3.3,2 Ratings,"Kundalahalli Signal Whitefield, Bangalore",,,MS Excel Training Institutes; Computer Training Institutes,true,true,false,false,false,Vocational training,Popular Computer Training Institutes For Basic,Kolar,2025-06-03T18:05:46.968Z
TCDS Computer Education,T,4.7,3 Ratings,"Hosur Main Road Berigai, Hosur",,,Computer Training Institutes; MS Excel Training Institutes,false,true,false,false,true,Vocational training,Popular Computer Training Institutes For Basic,Kolar,2025-06-03T18:05:46.968Z
SAP Successfactors,S,4.0,1 Ratings,"ITPL-WHITEFIELD, Bangalore",,,Computer Training Institutes; Tally Training Institutes,true,true,false,false,false,Vocational training,Popular Computer Training Institutes For Basic,Kolar,2025-06-03T18:05:46.968Z
NT Systems,N,3.1,4 Ratings,"Varthur Whitefield, Bangalore",,,Computer Training Institutes; Corporate Companies For IT,true,true,false,false,false,Vocational training,Popular Computer Training Institutes For Basic,Kolar,2025-06-03T18:05:46.968Z
Excellent Infotech Spoken English And Computer Training Institutes,E,4.9,6 Ratings,"Belthur Colony Whitefield, Bangalore",,,Language Classes; Computer Training Institutes,true,true,false,false,true,Vocational training,Popular Computer Training Institutes For Basic,Kolar,2025-06-03T18:05:46.968Z
Sahara Education Institute,+,5.0,1 Ratings,"Halasahalli Road Varthur, Bangalore",,,Tally Training Institutes; Computer Training Institutes,true,true,false,false,false,Vocational training,Popular Computer Training Institutes For Basic,Kolar,2025-06-03T18:05:46.968Z
Josiah Technology Pvt Ltd,J,3.4,17 Ratings,"1st Stage Whitefield, Bangalore",,,Computer Training Institutes; Computer Training Institutes For Basic,true,true,false,false,false,Vocational training,Popular Computer Training Institutes For Basic,Kolar,2025-06-03T18:05:46.968Z
Kannika Computer Centre,K,4.2,40 Ratings,"Bazaar Main Road Devanahalli, Bangalore",,,Computer Training Institutes; Language Classes For English Conversation,true,true,false,false,true,Vocational training,Popular Computer Training Institutes For Basic,Kolar,2025-06-03T18:05:46.968Z
Nfinity Infotech,+,4.8,20 Ratings,"Police Station Road Varthur, Bangalore",,07041298925,Language Classes For English Grammar; Computer Training Institutes,true,true,false,true,true,Vocational training,Popular Computer Training Institutes For Basic,Kolar,2025-06-03T18:05:46.968Z
Sri Venkateshwara Institute Of Commerce,S,5.0,3 Ratings,"Devanahalli, Bangalore",,,Computer Training Institutes; Typing Classes,true,true,false,false,true,Vocational training,Popular Computer Training Institutes For Basic,Kolar,2025-06-03T18:05:46.968Z
Nict Computer Education,N,5.0,1 Ratings,"B B ROAD Devanahalli, Bangalore",,,Computer Training Institutes; Tally Training Institutes,true,true,false,false,true,Vocational training,Popular Computer Training Institutes For Basic,Kolar,2025-06-03T18:05:46.968Z
Quick Lerning Centre,+,4.6,47 Ratings,"Main Road Mahadevapura, Bangalore",,,Computer Training Institutes For Basic; Computer Training Institutes,true,true,false,false,true,Vocational training,Popular Computer Training Institutes For Basic,Kolar,2025-06-03T18:05:46.969Z
Vivitsu Infotech,+,3.6,11 Ratings,"Palya Main Road Krishnarajapuram, Bangalore",,,Computer Training Institutes; Computer Software Training Institutes,true,true,false,false,false,Vocational training,Popular Computer Training Institutes For Basic,Kolar,2025-06-03T18:05:46.969Z
I-dream It Solution,+,5.0,78 Ratings,"Battarahalli Bhattarahalli, Bangalore",,,Computer Training Institutes For Basic; Computer Training Institutes,true,true,false,false,true,Vocational training,Popular Computer Training Institutes For Basic,Kolar,2025-06-03T18:05:46.969Z
Swamy Vivekananda Computer Education,S,2.5,2 Ratings,"Taluk Office Road Devanahalli, Bangalore",,,Computer Training Institutes; Computer Training Institutes For Basic,false,true,false,false,false,Vocational training,Popular Computer Training Institutes For Basic,Kolar,2025-06-03T18:05:46.969Z
Success Software Solutions,S,4.8,7 Ratings,"Kuppam Town Bank Kuppam, Chittoor",,,Tutorials; Computer Training Institutes,true,true,false,false,true,Vocational training,Popular Computer Training Institutes For Basic,Kolar,2025-06-03T18:05:46.969Z
Network Labs India Pvt Ltd,+,4.0,113 Ratings,"Whitefield, Bangalore",,,Computer Training Institutes For Corporate CCNA; Computer Training Institutes,true,true,false,false,true,Vocational training,Popular Computer Training Institutes For Basic,Kolar,2025-06-03T18:05:46.969Z
Cadd Centre,C,4.5,2 Ratings,"Hoodi circle Hoodi, Bangalore",,,CAD Training Institutes; Computer Training Institutes,true,true,false,false,false,Vocational training,Popular Computer Training Institutes For Basic,Kolar,2025-06-03T18:05:46.969Z
Webdrills,W,3.9,117 Ratings,"Saptagiri Bulding Hoodi, Bangalore",,,Computer Training Institutes; Institutes,true,true,false,false,false,Vocational training,Popular Computer Training Institutes For Basic,Kolar,2025-06-03T18:05:46.969Z
CADD Centre,+,4.7,398 Ratings,"Old Madras Road Krishnarajapuram, Bangalore",,08734938442,Computer Training Institutes; SAP Training Institutes,true,true,false,true,true,Vocational training,Popular Computer Training Institutes For Basic,Kolar,2025-06-03T18:05:46.969Z
Miracka Academy,+,4.9,65 Ratings,"Arcade Maruthi Nagar Sarjapura, Bangalore",,,Computer Training Institutes; SAP Training Institutes,true,true,false,false,true,Vocational training,Popular Computer Training Institutes For Basic,Kolar,2025-06-03T18:05:46.969Z
Computer World Education (R),C,4.9,4 Ratings,"Main Road Krishnarajapuram, Bangalore",,,Tally Training Institutes; Computer Training Institutes,false,true,false,false,true,Vocational training,Popular Computer Training Institutes For Basic,Kolar,2025-06-03T18:05:46.969Z
Idream Kraft - Animation Institute Bengaluru,+,4.9,71 Ratings,"7th Cross Krishnarajapuram, Bangalore",,,Microsoft Excel Advanced Training Institutes; Computer Training Institutes,true,true,false,false,true,Vocational training,Popular Computer Training Institutes For Basic,Kolar,2025-06-03T18:05:46.970Z
Lead Info Systems,+,4.8,162 Ratings,"Vidyanagar Sarjapura, Bangalore",,,Computer Training Institutes; Internet Website Designers,true,true,false,false,true,Vocational training,Popular Computer Training Institutes For Basic,Kolar,2025-06-03T18:05:46.973Z
Rekhas Coaching Classes,R,3.0,3 Ratings,"Varthur Road Varthur, Bangalore",,,Computer Training Institutes For Basic; Computer Training Institutes,true,true,false,false,false,Vocational training,Popular Computer Training Institutes For Basic,Kolar,2025-06-03T18:05:46.973Z
Lead Info Systems,+,4.8,162 Ratings,"Vidyanagar Sarjapura, Bangalore",,,Computer Training Institutes; Tally Training Institutes,true,true,false,false,true,Vocational training,Popular Computer Training Institutes For Basic,Kolar,2025-06-03T18:05:46.973Z
MICE Computer Education,M,3.9,8 Ratings,"Old Madras Road Krishnarajapuram, Bangalore",,,Computer Training Institutes; Tally Training Institutes,true,true,false,false,false,Vocational training,Popular Computer Training Institutes For Basic,Kolar,2025-06-03T18:05:46.973Z
MS Computer Education Trust,M,3.0,1 Ratings,"Tn Complex Devanahalli, Bangalore",,,Computer Training Institutes; Tally Training Institutes,true,true,false,false,false,Vocational training,Popular Computer Training Institutes For Basic,Kolar,2025-06-03T18:05:46.973Z
Software Infotech,+,4.8,62 Ratings,"Main Road Krishnarajapuram, Bangalore",,,Core Java Training Institutes; Computer Training Institutes,true,true,false,false,true,Vocational training,Popular Computer Training Institutes For Basic,Kolar,2025-06-03T18:05:46.974Z
Vidyavarshini Education Centre,V,4.6,9 Ratings,"Complex Krishnarajapuram, Bangalore",,,Colleges; Computer Training Institutes,true,true,false,false,true,Vocational training,Popular Computer Training Institutes For Basic,Kolar,2025-06-03T18:05:46.974Z
Next Mind Computer Education Centre,N,5.0,2 Ratings,"Devasandra Road Krishnarajapuram, Bangalore",,,Computer Training Institutes; AUTOCAD Training Institutes,false,true,false,false,false,Vocational training,Popular Computer Training Institutes For Basic,Kolar,2025-06-03T18:05:46.974Z
Beeta Computers And Educational Institute,+,4.6,115 Ratings,"Garudacharpalya Mahadevapura, Bangalore",,,Computer Hardware Training Institutes; Computer Training Institutes,true,true,false,false,true,Vocational training,Popular Computer Training Institutes For Basic,Kolar,2025-06-03T18:05:46.975Z
GIRI TECH Solutions,+,4.0,26 Ratings,"Main Road Krishnarajapuram, Bangalore",,,Advanced Java Training Institutes; Schools,true,true,false,false,false,Vocational training,Popular Computer Training Institutes For Basic,Kolar,2025-06-03T18:05:46.975Z
B2C Technology,+,4.8,197 Ratings,"Baba Temple Road Marathahalli, Bangalore",,,Computer Training Institutes; Computer Software Training Institutes,true,true,false,false,true,Vocational training,Popular Computer Training Institutes For Basic,Kolar,2025-06-03T18:05:46.975Z
CST Academy,C,4.9,11 Ratings,"Goshala road Garudacharpalya, Bangalore",,,Tally Training Institutes; Computer Training Institutes,true,true,false,false,false,Vocational training,Popular Computer Training Institutes For Basic,Kolar,2025-06-03T18:05:46.975Z
Eminent Technology Solutions,+,4.4,15 Ratings,"Palya Main Road Ramamurthy Nagar, Bangalore",,,Computer Hardware Training Institutes; Computer Training Institutes,true,true,false,false,true,Vocational training,Popular Computer Training Institutes For Basic,Kolar,2025-06-03T18:05:46.975Z
Shine Institute Of Language & Technology,+,5.0,53 Ratings,"Layout Varthur Road Marathahalli, Bangalore",,,Language Classes For English Conversation; Computer Training Institutes,true,true,false,false,true,Vocational training,Popular Computer Training Institutes For Basic,Kolar,2025-06-03T18:05:46.975Z
Prayatna Learning Centre,+,4.8,63 Ratings,"Palya Main Road Ramamurthy Nagar, Bangalore",,,Tutorials For Class X; Computer Training Institutes,true,true,false,false,true,Vocational training,Popular Computer Training Institutes For Basic,Kolar,2025-06-03T18:05:46.975Z
Innochip Solutions,I,5.0,3 Ratings,"Scorpio House Marathahalli, Bangalore",,,MS Excel Training Institutes; Computer Training Institutes,true,true,false,false,false,Vocational training,Popular Computer Training Institutes For Basic,Kolar,2025-06-03T18:05:46.975Z
Sri Sai Academy,+,4.1,6 Ratings,"Mahadevapura Post Mahadevapura, Bangalore",,,Tally Training Institutes; Computer Training Institutes,true,true,false,false,false,Vocational training,Popular Computer Training Institutes For Basic,Kolar,2025-06-03T18:05:46.975Z
Ekagga Technology,+,4.9,52 Ratings,"Karthik Nagar-Marathahalli, Bangalore",,,Institutes; Computer Training Institutes,true,true,false,false,true,Vocational training,Popular Computer Training Institutes For Basic,Kolar,2025-06-03T18:05:46.975Z
Rajesh Academy,+,4.0,27 Ratings,"Varthur Main Road Marathahalli, Bangalore",,07048457988,Computer Training Institutes; Tutorials,true,true,false,false,false,Vocational training,Popular Computer Training Institutes For Basic,Kolar,2025-06-03T18:05:46.976Z
Login Software Pvt Ltd,+,4.1,70 Ratings,"Outer Ring Road Marathahalli, Bangalore",,,Computer Training Institutes; Institutes,true,true,false,false,true,Vocational training,Popular Computer Training Institutes For Basic,Kolar,2025-06-03T18:05:46.976Z
Elegant It Services,+,4.7,"1,296 Ratings","Varthur Main Road Marathahalli, Bangalore",,08401461237,Computer Software Institutes For Catia V 5; Computer Training Institutes,true,true,false,false,true,Vocational training,Popular Computer Training Institutes For Basic,Kolar,2025-06-03T18:05:46.976Z
Tek Classes,T,5.0,2 Ratings,"above bornbaby shop Marathahalli, Bangalore",,,Informatica Training Institutes; Computer Training Institutes,true,true,false,false,false,Vocational training,Popular Computer Training Institutes For Basic,Kolar,2025-06-03T18:05:46.976Z
I One Techsolutions,I,4.5,10 Ratings,"Marathalli Post Munekollal, Bangalore",,,SQL Training Institutes; Computer Training Institutes,true,true,false,false,false,Vocational training,Popular Computer Training Institutes For Basic,Kolar,2025-06-03T18:05:46.976Z
