name,initial,rating,totalRatings,address,distance,phone,tags,hasWhatsApp,hasEnquiry,isTrusted,isVerified,isPopular,category,subcategory,city,timestamp
Letspro Training Institute,L,4.7,250 Ratings,"Vijaynagar 2nd Stage, Mysore",,09054848120,Computer Training Institutes; Internship For CSE,true,true,false,true,true,Vocational training,Popular Data Warehousing Training Institutes,Mysore,2025-05-27T14:24:11.298Z
Kalingatech It Solutions,K,4.2,23 Ratings,"Mainraod Rajajinagar 6th Block, Bangalore",,,Tutorials For Biology; Computer Training Institutes,true,true,false,true,true,Vocational training,Popular Data Warehousing Training Institutes,Mysore,2025-05-27T14:24:11.299Z
Educar,E,5.0,1 Ratings,"No. 4 Jayanagar 9th Block, Bangalore",,,Tally Training Institutes; Computer Training Institutes,true,true,false,false,true,Vocational training,Popular Data Warehousing Training Institutes,Mysore,2025-05-27T14:24:11.299Z
Datamatrix Solutions,D,3.3,2 Ratings,"10th Mn Jayanagar 3rd Block, Bangalore",,,Oracle DBA Training Institutes; Computer Training Institutes,true,true,false,false,false,Vocational training,Popular Data Warehousing Training Institutes,Mysore,2025-05-27T14:24:11.299Z
Techscope Solutions,T,5.0,2 Ratings,"6th Phase Rajajinagar, Bangalore",,,Computer Training Institutes For Visual C++; Computer Training Institutes,false,true,false,false,true,Vocational training,Popular Data Warehousing Training Institutes,Mysore,2025-05-27T14:24:11.299Z
S S I Ltd,S,3.7,15 Ratings,"11th Main Road Jayanagar, Bangalore",,,Computer Training Institutes; Computer Software Training Institutes,true,true,false,false,false,Vocational training,Popular Data Warehousing Training Institutes,Mysore,2025-05-27T14:24:11.299Z
Zenaura Technologies,+,4.5,28 Ratings,"11th Main Jayanagar, Bangalore",,,Computer Hardware Training Institutes; Computer Training Institutes,true,true,false,false,true,Vocational training,Popular Data Warehousing Training Institutes,Mysore,2025-05-27T14:24:11.299Z
Cegonsoft Pvt Ltd,C,3.3,68 Ratings,"Main Street Jayanagar 9th Block, Bangalore",,,Computer Software Training Institutes; Computer Training Institutes,true,true,false,false,false,Vocational training,Popular Data Warehousing Training Institutes,Mysore,2025-05-27T14:24:11.299Z
Quality Theorem,Q,3.5,2 Ratings,"Shankar Mutt Circle Chamarajpet, Bangalore",,,Java Training Institutes; Computer Training Institutes,true,true,false,false,false,Vocational training,Popular Data Warehousing Training Institutes,Mysore,2025-05-27T14:24:11.299Z
Sancentre It Solutions Pvt Ltd,+,3.8,6 Ratings,"Byrasandra Jayanagar 1st E Block, Bangalore",,,Data Warehousing Training Institutes; Computer Training Institutes,false,true,false,true,false,Vocational training,Popular Data Warehousing Training Institutes,Mysore,2025-05-27T14:24:11.299Z
DMS IT Software Solutions,D,4.3,38 Ratings,"Mutt Signal Basaveshwara Nagar, Bangalore",,,Computer Hardware Training Institutes; Computer Training Institutes,true,true,false,false,true,Vocational training,Popular Data Warehousing Training Institutes,Mysore,2025-05-27T14:24:11.299Z
AJR Education Services,+,3.9,17 Ratings,"Btm 2nd Stage Bannerghatta Road, Bangalore",,,Computer Training Institutes; Computer Software Training Institutes,true,true,false,false,false,Vocational training,Popular Data Warehousing Training Institutes,Mysore,2025-05-27T14:24:11.300Z
Ktp Technologies,K,4.0,2 Ratings,"2nd STG Btm Layout, Bangalore",,,Informatica Training Institutes; Computer Training Institutes,true,true,false,false,false,Vocational training,Popular Data Warehousing Training Institutes,Mysore,2025-05-27T14:24:11.300Z
Arrigologix,A,4.5,4 Ratings,"Cross Btm Layout 2nd Stage, Bangalore",,,Informatica Training Institutes; Computer Training Institutes,true,true,false,false,false,Vocational training,Popular Data Warehousing Training Institutes,Mysore,2025-05-27T14:24:11.300Z
Nsr Technologies,+,4.9,"2,048 Ratings","Btm Layout 1st Stage, Bangalore",,,Etl Testing Training Institutes; Computer Training Institutes,true,true,false,false,true,Vocational training,Popular Data Warehousing Training Institutes,Mysore,2025-05-27T14:24:11.300Z
Raks Technologies,+,4.0,15 Ratings,"9th Main Btm Layout 2nd Stage, Bangalore",,,Hadoop Training Institutes; Computer Training Institutes,false,true,false,false,false,Vocational training,Popular Data Warehousing Training Institutes,Mysore,2025-05-27T14:24:11.300Z
Imax Infosoft,I,4.6,151 Ratings,"BTM Layout 2nd Stage, Bangalore",,09980221561,Computer Training Institutes; Tutorials,true,true,false,true,true,Vocational training,Popular Data Warehousing Training Institutes,Mysore,2025-05-27T14:24:11.300Z
Sapware Technologies,S,3.3,8 Ratings,"#07 2nd Floor Btm Layout, Bangalore",,,Computer Training Institutes; SAP Training Institutes,true,true,false,false,false,Vocational training,Popular Data Warehousing Training Institutes,Mysore,2025-05-27T14:24:11.300Z
Gloedge Technologies Pvt Ltd,+,4.8,305 Ratings,"Mico Layout BTM Layout 2nd Stage, Bangalore",,,Colleges; Computer Training Institutes,true,true,false,false,true,Vocational training,Popular Data Warehousing Training Institutes,Mysore,2025-05-27T14:24:11.300Z
Inno Labs India,I,4.0,3 Ratings,"Feet Btm Layout 2nd Stage, Bangalore",,,Computer Training Institutes For Corporate C++; Computer Training Institutes,true,true,false,false,false,Vocational training,Popular Data Warehousing Training Institutes,Mysore,2025-05-27T14:24:11.300Z
G-Tec Computer Education,+,3.9,63 Ratings,"Road Electronic City Phase 1, Bangalore",,,Computer Training Institutes; SAP Training Institutes,true,true,false,true,false,Vocational training,Popular Data Warehousing Training Institutes,Mysore,2025-05-27T14:24:11.300Z
Greencity Infotech,G,4.2,4 Ratings,"11th Main Btm Layout 1st Stage, Bangalore",,,Computer Training Institutes; Language Classes For English Conversation,true,true,false,false,true,Vocational training,Popular Data Warehousing Training Institutes,Mysore,2025-05-27T14:24:11.300Z
U And V Technologies,U,4.0,3 Ratings,"1st K Blk Rajajinagar, Bangalore",,,Computer Training Institutes For Android; Computer Training Institutes,true,true,false,false,false,Vocational training,Popular Data Warehousing Training Institutes,Mysore,2025-05-27T14:24:11.300Z
Fulfill Technologies Pvt Ltd,F,3.6,11 Ratings,"2nd Block Rajajinagar, Bangalore",,,Computer Training Institutes; Institutes,false,true,false,false,false,Vocational training,Popular Data Warehousing Training Institutes,Mysore,2025-05-27T14:24:11.300Z
D I T,D,3.8,162 Ratings,"Feet Btm Layout 1st Stage, Bangalore",,,Computer Training Institutes; Institutes,true,true,false,false,false,Vocational training,Popular Data Warehousing Training Institutes,Mysore,2025-05-27T14:24:11.300Z
Aviana Nrit Pvt Ltd,A,4.2,6 Ratings,"2nd Stg BTM Layout, Bangalore",,,Computer Software Developers; Computer Software Dealers,false,true,false,false,false,Vocational training,Popular Data Warehousing Training Institutes,Mysore,2025-05-27T14:24:11.300Z
S & P Testing,S,4.5,1 Ratings,"3rd Cross Btm Layout 2nd Stage, Bangalore",,,Computer Training Institutes; Java Training Institutes,false,true,false,false,false,Vocational training,Popular Data Warehousing Training Institutes,Mysore,2025-05-27T14:24:11.300Z
Besant Technologies,+,4.8,"5,388 Ratings","30th Btm Layout 2nd Stage, Bangalore",,,Computer Training Institutes For C++ Programming; Computer Training Institutes,true,true,false,true,true,Vocational training,Popular Data Warehousing Training Institutes,Mysore,2025-05-27T14:24:11.300Z
Innoware Technology Pvt Ltd,I,5.0,3 Ratings,"Nagar BTM Layout 1st Stage, Bangalore",,,Computer Software Training Institutes; Internet Website Developers,true,true,false,false,false,Vocational training,Popular Data Warehousing Training Institutes,Mysore,2025-05-27T14:24:11.300Z
Master Mind Learning Solutions,+,4.4,108 Ratings,"Huskur Gate Electronic City, Bangalore",,09035009813,Computer Training Institutes; Tutorials,true,true,false,true,true,Vocational training,Popular Data Warehousing Training Institutes,Mysore,2025-05-27T14:24:11.300Z
Tecmax,+,4.7,208 Ratings,"100 Btm Layout 1st Stage, Bangalore",,,SAP ABAP Training Institutes; Computer Training Institutes,true,true,false,false,true,Vocational training,Popular Data Warehousing Training Institutes,Mysore,2025-05-27T14:24:11.300Z
SAS Analytics & IT Services,S,3.6,4 Ratings,"6th Cross Btm Layout, Bangalore",,,Business Analytics Training Institutes; Computer Training Institutes,true,true,false,false,false,Vocational training,Popular Data Warehousing Training Institutes,Mysore,2025-05-27T14:24:11.300Z
Igrow Technologies,+,4.4,95 Ratings,"Circle Btm Layout 1st Stage, Bangalore",,,Computer Training Institutes; Institutes,true,true,false,false,true,Vocational training,Popular Data Warehousing Training Institutes,Mysore,2025-05-27T14:24:11.300Z
Alpha Computers,A,4.5,2 Ratings,"Kalyan Nagar T Dasarahalli, Bangalore",,,Computer Training Institutes; AUTOCAD Training Institutes,false,true,false,false,true,Vocational training,Popular Data Warehousing Training Institutes,Mysore,2025-05-27T14:24:11.300Z
Hanztech Solutions,H,4.9,11 Ratings,"Nagar BTM Layout 1st Stage, Bangalore",,,Informatica Training Institutes; Computer Training Institutes,true,true,false,false,false,Vocational training,Popular Data Warehousing Training Institutes,Mysore,2025-05-27T14:24:11.301Z
Data Spark,D,4.2,12 Ratings,"Double Road K H Road, Bangalore",,,Institutes; Computer Training Institutes,false,true,false,false,true,Vocational training,Popular Data Warehousing Training Institutes,Mysore,2025-05-27T14:24:11.301Z
Enstansys Data Analytics Pvt Ltd,E,5.0,2 Ratings,"Double Rd Rajaram Mohan Roy Road, Bangalore",,,Data Warehousing Training Institutes; Computer Training Institutes,false,true,false,false,false,Vocational training,Popular Data Warehousing Training Institutes,Mysore,2025-05-27T14:24:11.301Z
Study analytics,+,4.5,172 Ratings,"Nivas College Road Koramangala, Bangalore",,,Institutes For Business Analytics; Placement Services (Candidate),true,true,false,false,true,Vocational training,Popular Data Warehousing Training Institutes,Mysore,2025-05-27T14:24:11.301Z
Human Base India Inc Software Development Centre,+,3.2,14 Ratings,"5th Block Koramangala, Bangalore",,,Language Classes For Chinese; Computer Training Institutes,true,true,false,false,false,Vocational training,Popular Data Warehousing Training Institutes,Mysore,2025-05-27T14:24:11.301Z
Livetrack,L,4.1,9 Ratings,"4th Avenue Koramangala, Bangalore",,,Correspondence Institutes; Computer Training Institutes,true,true,false,false,false,Vocational training,Popular Data Warehousing Training Institutes,Mysore,2025-05-27T14:24:11.301Z
Vinnox Technologies Pvt Ltd,+,4.5,8 Ratings,"Feet Road Koramangala 5th Block, Bangalore",,,Computer Training Institutes; Computer Software Training Institutes,true,true,false,false,false,Vocational training,Popular Data Warehousing Training Institutes,Mysore,2025-05-27T14:24:11.301Z
Info School,+,3.9,30 Ratings,"Richmond Road, Bangalore",,,Institutes; Computer Training Institutes,true,true,false,false,false,Vocational training,Popular Data Warehousing Training Institutes,Mysore,2025-05-27T14:24:11.301Z
Logica Soft Solutions,L,4.7,3 Ratings,"Srinivagilu Koramangala, Bangalore",,,Data Warehousing Training Institutes; Computer Training Institutes,true,true,false,false,false,Vocational training,Popular Data Warehousing Training Institutes,Mysore,2025-05-27T14:24:11.301Z
Novasoft Solutions,N,4.0,2 Ratings,"5th Blk Koramangala, Bangalore",,,Testing Tools Training Institutes; Computer Training Institutes,false,true,false,false,false,Vocational training,Popular Data Warehousing Training Institutes,Mysore,2025-05-27T14:24:11.301Z
I Class Training,I,2.8,21 Ratings,"Koramangala 5th Block, Bangalore",,,Computer Training Institutes; SAP Training Institutes,true,true,false,false,false,Vocational training,Popular Data Warehousing Training Institutes,Mysore,2025-05-27T14:24:11.301Z
Uplatz.com,+,5.0,1 Ratings,Bangalore,,,SAS Bi Training Institutes; Computer Training Institutes,true,true,false,false,true,Vocational training,Popular Data Warehousing Training Institutes,Mysore,2025-05-27T14:24:11.301Z
Eduvercity,E,4.8,31 Ratings,"Sector 5 HSR Layout, Bangalore",,,Online SAS Training; Computer Training Institutes,false,true,false,false,false,Vocational training,Popular Data Warehousing Training Institutes,Mysore,2025-05-27T14:24:11.301Z
Stratum Analytics,S,5.0,1 Ratings,"Feet Road Koramangala 1st Block, Bangalore",,,Computer Training Institutes; Tutorials,false,true,false,false,false,Vocational training,Popular Data Warehousing Training Institutes,Mysore,2025-05-27T14:24:11.301Z
Oratree Technologies,O,5.0,1 Ratings,"Mathikere Main Road Mathikere, Bangalore",,,Oracle Training Institutes; Computer Training Institutes,true,true,false,false,false,Vocational training,Popular Data Warehousing Training Institutes,Mysore,2025-05-27T14:24:11.301Z
Global Enterprise Infotech Solutions,+,3.8,35 Ratings,"Infantry Road Shivaji Nagar, Bangalore",,,Placement Services (Candidate); Computer Training Institutes,false,true,false,false,false,Vocational training,Popular Data Warehousing Training Institutes,Mysore,2025-05-27T14:24:11.301Z
Yaxtract Solutions,Y,4.0,1 Ratings,"3rd Crs Mathikere, Bangalore",,,Testing Tools Training Institutes; Computer Training Institutes,false,true,false,false,false,Vocational training,Popular Data Warehousing Training Institutes,Mysore,2025-05-27T14:24:11.301Z
Arksoft,A,5.0,1 Ratings,"24th Main HSR Layout Sector 2, Bangalore",,,Computer Training Institutes; SAS Training Institutes,true,true,false,false,false,Vocational training,Popular Data Warehousing Training Institutes,Mysore,2025-05-27T14:24:11.301Z
Iant Institute Of Advance Network Technology,+,4.0,110 Ratings,"Grace Mansions Infantry Road, Bangalore",,,Computer Training Institutes For Basic; Computer Training Institutes,true,true,false,true,true,Vocational training,Popular Data Warehousing Training Institutes,Mysore,2025-05-27T14:24:11.301Z
Keysoft Solutions Pvt Ltd,K,3.5,4 Ratings,"No.472nd Floor Vasanth Nagar, Bangalore",,,Data Warehousing Training Institutes; Computer Training Institutes,false,true,false,false,false,Vocational training,Popular Data Warehousing Training Institutes,Mysore,2025-05-27T14:24:11.301Z
Tekfiesta Software Training Institute,+,4.6,16 Ratings,"Agara Hsr Layout, Bangalore",,,SQL Training Institutes; Computer Training Institutes,true,true,false,false,false,Vocational training,Popular Data Warehousing Training Institutes,Mysore,2025-05-27T14:24:11.301Z
Sapient It Solutions,S,4.5,2 Ratings,"No. 13/1 Rt Nagar, Bangalore",,,MS Excel Training Institutes; Computer Training Institutes,true,true,false,false,false,Vocational training,Popular Data Warehousing Training Institutes,Mysore,2025-05-27T14:24:11.301Z
Innovative Solutions,I,3.3,3 Ratings,"Rt Nagar Post Rt Nagar, Bangalore",,,Computer Software Training Institutes; Computer Training Institutes,true,true,false,false,false,Vocational training,Popular Data Warehousing Training Institutes,Mysore,2025-05-27T14:24:11.301Z
HBS Technologies,H,4.5,4 Ratings,"M M Road Frazer Town, Bangalore",,,Accounting Training Institutes; Computer Training Institutes,true,true,false,false,true,Vocational training,Popular Data Warehousing Training Institutes,Mysore,2025-05-27T14:24:11.301Z
Dit Education,+,3.9,343 Ratings,"CMH Road Indiranagar, Bangalore",,,Computer Training Corporate Gis; Computer Training Institutes,true,true,false,true,false,Vocational training,Popular Data Warehousing Training Institutes,Mysore,2025-05-27T14:24:11.301Z
Computer Education Centre,C,3.3,8 Ratings,"Indiranagar, Bangalore",,,AUTOCAD Training Institutes; Computer Training Institutes,true,true,false,false,false,Vocational training,Popular Data Warehousing Training Institutes,Mysore,2025-05-27T14:24:11.302Z
Infohub World Towards Excellence,+,3.8,8 Ratings,"3rd Main Hebbal, Bangalore",,,Computer Training Institutes; Tutorials,false,true,false,false,false,Vocational training,Popular Data Warehousing Training Institutes,Mysore,2025-05-27T14:24:11.302Z
Archon Tech Solutions,+,3.6,3 Ratings,"Indiranagar Indiranagar, Bangalore",,,Tally Training Institutes; Computer Training Institutes,true,true,false,false,false,Vocational training,Popular Data Warehousing Training Institutes,Mysore,2025-05-27T14:24:11.302Z
Datalabs,D,4.4,52 Ratings,"100ft Rd Indiranagar, Bangalore",,,Informatica Training Institutes; Computer Training Institutes,true,true,false,false,true,Vocational training,Popular Data Warehousing Training Institutes,Mysore,2025-05-27T14:24:11.302Z
Gayyantao Technologies,G,4.0,1 Ratings,"A Indira Nagar 1st Stage, Bangalore",,,Computer Training Institutes For IBM Mainframe; Computer Training Institutes,true,true,false,false,false,Vocational training,Popular Data Warehousing Training Institutes,Mysore,2025-05-27T14:24:11.302Z
Trinity Infosolutions,T,3.3,3 Ratings,"Cmh Rd Indiranagar, Bangalore",,,Technical Writing Training Institutes; Computer Training Institutes,true,true,false,false,false,Vocational training,Popular Data Warehousing Training Institutes,Mysore,2025-05-27T14:24:11.302Z
Copersoft Technologies,+,4.0,62 Ratings,"10th Main Indira Nagar 2nd Stage, Bangalore",,,Adobe Photoshop Training Institutes; Computer Training Institutes,true,true,false,false,true,Vocational training,Popular Data Warehousing Training Institutes,Mysore,2025-05-27T14:24:11.302Z
Trishana Technologies,T,4.9,485 Ratings,"Outer Ring Road Bellandur, Bangalore",,,Computer Training Institutes; Institutes,true,true,false,true,true,Vocational training,Popular Data Warehousing Training Institutes,Mysore,2025-05-27T14:24:11.302Z
Karvin Learning Services,+,3.5,13 Ratings,"#26/8 Indiranagar, Bangalore",,,Computer Training Institutes For Silverlight; Computer Training Institutes,true,true,false,false,false,Vocational training,Popular Data Warehousing Training Institutes,Mysore,2025-05-27T14:24:11.302Z
Reboot Mind Education,+,4.1,336 Ratings,"M H Road Indirangar Indiranagar, Bangalore",,,Computer Training Institutes; Institutes,true,true,false,false,true,Vocational training,Popular Data Warehousing Training Institutes,Mysore,2025-05-27T14:24:11.302Z
Techpro Technologies,T,3.0,1 Ratings,"Outer Ring Road Bellandur, Bangalore",,,Cloud Networking Courses; Computer Training Institutes,true,true,false,false,false,Vocational training,Popular Data Warehousing Training Institutes,Mysore,2025-05-27T14:24:11.302Z
Triong Technologies,T,5.0,1 Ratings,"Ground Floor Indiranagar, Bangalore",,,Computer Training Institutes For IBM Mainframe; Computer Training Institutes,true,true,false,false,true,Vocational training,Popular Data Warehousing Training Institutes,Mysore,2025-05-27T14:24:11.302Z
Epoch Research Institute India Pvt Ltd,E,4.3,72 Ratings,"Airport Road Old Airport Road, Bangalore",,,Computer Software Training Analysis; Computer Training Institutes,true,true,false,true,true,Vocational training,Popular Data Warehousing Training Institutes,Mysore,2025-05-27T14:24:11.302Z
Business Intelligence And Data Analytics Training Cacdemy,B,5.0,2 Ratings,"Main Road Maruthi Sevanagar, Bangalore",,,Data Warehousing Training Institutes; Computer Training Institutes,true,true,false,false,true,Vocational training,Popular Data Warehousing Training Institutes,Mysore,2025-05-27T14:24:11.302Z
Cloud4green Technologies,+,4.7,196 Ratings,"Kempapura Hebbal, Bangalore",,,Computer Training Institutes; Institutes,true,true,false,false,true,Vocational training,Popular Data Warehousing Training Institutes,Mysore,2025-05-27T14:24:11.302Z
Soft Tech Solutions,S,4.0,23 Ratings,"Mn Rd Kammanahalli Main Road, Bangalore",,,Computer Hardware Training Institutes; Computer Training Institutes,false,true,false,false,false,Vocational training,Popular Data Warehousing Training Institutes,Mysore,2025-05-27T14:24:11.302Z
Nalanda Institute And Higher Education,N,3.6,33 Ratings,"Kalyan Nagar, Bangalore",,,Correspondence Education; Computer Training Institutes,true,true,false,false,false,Vocational training,Popular Data Warehousing Training Institutes,Mysore,2025-05-27T14:24:11.302Z
Accentrex Global,A,4.7,3 Ratings,"Main HRBR Layout Kalyan Nagar, Bangalore",,,Tally Training Institutes; Computer Training Institutes,false,true,false,false,true,Vocational training,Popular Data Warehousing Training Institutes,Mysore,2025-05-27T14:24:11.302Z
Winavit Technologies,W,5.0,2 Ratings,"Banaswadi Main Road Banaswadi, Bangalore",,,Computer Training Institutes; Tutorials,true,true,false,true,true,Vocational training,Popular Data Warehousing Training Institutes,Mysore,2025-05-27T14:24:11.302Z
Mt.ZION Corporate Training Center,M,5.0,1 Ratings,"6th Cross Marathahalli, Bangalore",,,Computer Training Institutes; SAP Training Institutes,false,true,false,false,false,Vocational training,Popular Data Warehousing Training Institutes,Mysore,2025-05-27T14:24:11.302Z
Databytes Software Training Institutes,+,4.4,32 Ratings,"Marathahalli, Bangalore",,,Computer Training Institutes; Tutorials,true,true,false,false,true,Vocational training,Popular Data Warehousing Training Institutes,Mysore,2025-05-27T14:24:11.302Z
Sigma Technologies,+,4.0,21 Ratings,"Munnekolala Marathahalli, Bangalore",,,Microsoft Training Institutes; Computer Training Institutes,true,true,false,false,false,Vocational training,Popular Data Warehousing Training Institutes,Mysore,2025-05-27T14:24:11.302Z
