name,initial,rating,totalRatings,address,distance,phone,tags,hasWhatsApp,hasEnquiry,isTrusted,isVerified,isPopular,category,subcategory,city,timestamp
N Ganesh And Company,N,5.0,4 Ratings,"Shastry Road Chamundipuram, Mysore",,,Wheel Chair Accessible Entrance And Exit; GST Return; TDS Return,true,true,false,false,false,Experienced Chartered Accountants and CA Firms,,Chamarajanagar,2025-06-04T09:33:54.654Z
M Ashok Kumar,M,4.0,2 Ratings,"Mysore Mysore City, Mysore",,,GST Return; TDS Return; Income Tax Return,true,true,false,false,false,Experienced Chartered Accountants and CA Firms,,Chamarajanagar,2025-06-04T09:33:54.654Z
Gothamachand S,G,5.0,1 Ratings,"MN Jois Road Kr Mohalla, Mysore",,,GST Return; TDS Return; Income Tax Return,true,true,false,false,false,Experienced Chartered Accountants and CA Firms,,Chamarajanagar,2025-06-04T09:33:54.654Z
Umesha R & Associates,U,4.0,2 Ratings,"M G Road Krishnamurthy Puram, Mysore",,,GST Return; TDS Return; Income Tax Return,false,true,false,false,false,Experienced Chartered Accountants and CA Firms,,Chamarajanagar,2025-06-04T09:33:54.654Z
Kumarpal And Co,K,4.9,112 Ratings,"Narayan Shastry Road Kr Mohalla, Mysore",,,GST Return; TDS Return; Income Tax Return,true,true,false,false,true,Experienced Chartered Accountants and CA Firms,,Chamarajanagar,2025-06-04T09:33:54.654Z
Ananthavardhana G N,A,4.4,10 Ratings,"Fort Mohalla, Mysore",,,Wheel Chair Accessible Entrance And Exit; GST Return; TDS Return,false,true,false,false,true,Experienced Chartered Accountants and CA Firms,,Chamarajanagar,2025-06-04T09:33:54.654Z
Chartered Accountant Jyothi C & Co,C,4.4,11 Ratings,"Nrupatunga Road Kuvempunagar, Mysore",,,GST Return; TDS Return; Income Tax Return,true,true,false,false,false,Experienced Chartered Accountants and CA Firms,,Chamarajanagar,2025-06-04T09:33:54.654Z
K S Nagaraju,+,4.9,6 Ratings,"4th Cross Krishnamurthy Puram, Mysore",,,GST Return; TDS Return; Income Tax Return,true,true,false,false,false,Experienced Chartered Accountants and CA Firms,,Chamarajanagar,2025-06-04T09:33:54.654Z
Jagannath,J,4.0,1 Ratings,"Kuvempunagar, Mysore",,,GST Return; TDS Return; Income Tax Return,true,true,false,false,false,Experienced Chartered Accountants and CA Firms,,Chamarajanagar,2025-06-04T09:33:54.654Z
Rao & Nathan,R,4.5,4 Ratings,"Kr Mohalla, Mysore",,,GST Return; TDS Return; Income Tax Return,false,true,false,false,false,Experienced Chartered Accountants and CA Firms,,Chamarajanagar,2025-06-04T09:33:54.654Z
B M Nagaraju And Company,B,2.8,2 Ratings,"3rd Cross Kr Mohalla, Mysore",,,GST Return; TDS Return; Income Tax Return,true,true,false,false,false,Experienced Chartered Accountants and CA Firms,,Chamarajanagar,2025-06-04T09:33:54.654Z
B S Ravikumar And Associates,B,4.4,5 Ratings,"Dr Br Ambedkar Road Lakshmipuram, Mysore",,,GST Return; TDS Return; Income Tax Return,false,true,false,false,false,Experienced Chartered Accountants and CA Firms,,Chamarajanagar,2025-06-04T09:33:54.654Z
Manu A P and Associates,+,4.7,98 Ratings,"Vilasa Road Chamaraja Mohalla, Mysore",,07383121053,Accounting; GST Return; TDS Return,true,true,false,true,true,Experienced Chartered Accountants and CA Firms,,Chamarajanagar,2025-06-04T09:33:54.654Z
Athri Bhat,A,5.0,1 Ratings,"Kuvempu Nagar Sriramapura, Mysore",,,GST Return; TDS Return; Income Tax Return,true,true,false,false,false,Experienced Chartered Accountants and CA Firms,,Chamarajanagar,2025-06-04T09:33:54.654Z
Lakshmi Srinivas & Co,+,4.9,132 Ratings,"Urs Road Ballal Circle, Mysore",,,Wheel Chair Accessible Entrance And Exit; Accounting; GST Return,true,true,false,false,true,Experienced Chartered Accountants and CA Firms,,Chamarajanagar,2025-06-04T09:33:54.654Z
Mayuresh & Co,+,4.8,90 Ratings,"Kantharaj Urs Road Ballal Circle, Mysore",,,Wheel Chair Accessible Entrance And Exit; GST Return; TDS Return,true,true,false,false,true,Experienced Chartered Accountants and CA Firms,,Chamarajanagar,2025-06-04T09:33:54.655Z
Guru And Jana Chartered Accountants,G,4.1,8 Ratings,"Shivayana Mutt Road Chamrajpura, Mysore",,,Wheel Chair Accessible Entrance And Exit; GST Return; TDS Return,false,true,false,false,true,Experienced Chartered Accountants and CA Firms,,Chamarajanagar,2025-06-04T09:33:54.655Z
Tejasvi,T,4.4,8 Ratings,"Geetha Road University Campus, Mysore",,,GST Return; TDS Return; Income Tax Return,true,true,false,false,false,Experienced Chartered Accountants and CA Firms,,Chamarajanagar,2025-06-04T09:33:54.655Z
Tejasvi And Company,T,5.0,2 Ratings,"Chamarajapuram Chamrajpura, Mysore",,,GST Return; TDS Return; Income Tax Return,true,true,false,false,false,Experienced Chartered Accountants and CA Firms,,Chamarajanagar,2025-06-04T09:33:54.655Z
Aradhya & Associates,+,4.6,13 Ratings,"Chandragupta Road, Mysore",,,GST Return; TDS Return; Income Tax Return,true,true,false,false,true,Experienced Chartered Accountants and CA Firms,,Chamarajanagar,2025-06-04T09:33:54.655Z
B N C And Co,B,4.5,5 Ratings,"Subbaiah Road Chamaraja Mohalla, Mysore",,,GST Return; TDS Return; Income Tax Return,true,true,false,false,true,Experienced Chartered Accountants and CA Firms,,Chamarajanagar,2025-06-04T09:33:54.655Z
C S S And Company,C,5.0,1 Ratings,"2nd Sriramapura 2nd Stage, Mysore",,,GST Return; TDS Return; Income Tax Return,true,true,false,false,false,Experienced Chartered Accountants and CA Firms,,Chamarajanagar,2025-06-04T09:33:54.655Z
M B Jain & Co,M,3.0,7 Ratings,"162/1 1st Flour Ramavilas Road, Mysore",,,GST Return; TDS Return; Income Tax Return,false,true,false,false,false,Experienced Chartered Accountants and CA Firms,,Chamarajanagar,2025-06-04T09:33:54.655Z
lakshmi nivas & co,l,5.0,2 Ratings,"Ramavilas Road, Mysore",,,GST Return; TDS Return; Income Tax Return,false,true,false,false,false,Experienced Chartered Accountants and CA Firms,,Chamarajanagar,2025-06-04T09:33:54.655Z
Manoj R and Associates,M,4.3,3 Ratings,"Shivarampet Road Shivarampet, Mysore",,,Accounting; GST Return; TDS Return,true,true,false,false,false,Experienced Chartered Accountants and CA Firms,,Chamarajanagar,2025-06-04T09:33:54.655Z
Shanmukhiah And Pandurang,S,4.7,7 Ratings,"Kr Circle Mysore, Mysore",,,GST Return; TDS Return; Income Tax Return,false,true,false,false,false,Experienced Chartered Accountants and CA Firms,,Chamarajanagar,2025-06-04T09:33:54.655Z
Mayuresh & Co,M,4.8,90 Ratings,"Karnataka Mandi Mohalla, Mysore",,,GST Return; TDS Return; Income Tax Return,false,true,false,false,true,Experienced Chartered Accountants and CA Firms,,Chamarajanagar,2025-06-04T09:33:54.655Z
Madhavan & Company,M,5.0,1 Ratings,"Kr Circle Mysore, Mysore",,,GST Return; TDS Return; Income Tax Return,false,true,false,false,false,Experienced Chartered Accountants and CA Firms,,Chamarajanagar,2025-06-04T09:33:54.655Z
Madhavan & Co,M,4.8,9 Ratings,"Kr Circle Mysore, Mysore",,,GST Return; TDS Return; Income Tax Return,false,true,false,false,true,Experienced Chartered Accountants and CA Firms,,Chamarajanagar,2025-06-04T09:33:54.655Z
Infinitude Consulting Private Limited,+,4.7,196 Ratings,"M G Road Chamarajapuram, Mysore",,08904249964,GST Return; TDS Return; Income Tax Return,true,true,false,true,true,Experienced Chartered Accountants and CA Firms,,Chamarajanagar,2025-06-04T09:33:54.655Z
Aiyappa & Associates,A,5.0,2 Ratings,"Kr Circle Mysore, Mysore",,,GST Return; TDS Return; Income Tax Return,true,true,false,false,false,Experienced Chartered Accountants and CA Firms,,Chamarajanagar,2025-06-04T09:33:54.655Z
Shanmukhiah & Pandurang,S,4.7,7 Ratings,"Kr Circle, Mysore",,,GST Return; TDS Return; Income Tax Return,true,true,false,false,false,Experienced Chartered Accountants and CA Firms,,Chamarajanagar,2025-06-04T09:33:54.655Z
NIRAJ NIKHIL JAIN & ASSOCIATES,+,5.0,23 Ratings,"Narayan Shastri Road Kr Mohalla, Mysore",,09980768995,Accounting; GST Return; TDS Return,true,true,false,false,true,Experienced Chartered Accountants and CA Firms,,Chamarajanagar,2025-06-04T09:33:54.655Z
Jain Ranka Associates,J,4.7,5 Ratings,"Soji Street Gandhi Square, Mysore",,,GST Return; TDS Return; Income Tax Return,false,true,false,false,false,Experienced Chartered Accountants and CA Firms,,Chamarajanagar,2025-06-04T09:33:54.655Z
Dev Associates,+,5.0,1 Ratings,"D Subhai Road Chamrajpura, Mysore",,,GST Return; TDS Return; Income Tax Return,true,true,false,false,false,Experienced Chartered Accountants and CA Firms,,Chamarajanagar,2025-06-04T09:33:54.655Z
Pasha & Co,P,4.0,1 Ratings,"Old Bank Rd Gandhi Square, Mysore",,,GST Return; TDS Return; Income Tax Return,false,true,false,false,false,Experienced Chartered Accountants and CA Firms,,Chamarajanagar,2025-06-04T09:33:54.656Z
L R Prakash & Co,L,4.6,5 Ratings,"D Subbiah Rd Kr Mohalla, Mysore",,,GST Return; TDS Return; Income Tax Return,false,true,false,false,false,Experienced Chartered Accountants and CA Firms,,Chamarajanagar,2025-06-04T09:33:54.656Z
L R Prakash & Company,L,5.0,1 Ratings,"Chamrajpura, Mysore",,,GST Return; TDS Return; Income Tax Return,true,true,false,false,false,Experienced Chartered Accountants and CA Firms,,Chamarajanagar,2025-06-04T09:33:54.656Z
B R Sharatchandra & Co.,B,4.8,10 Ratings,"D Subbaiah Road Agasara Beedi, Mysore",,,GST Return; TDS Return; Income Tax Return,true,true,false,false,false,Experienced Chartered Accountants and CA Firms,,Chamarajanagar,2025-06-04T09:33:54.656Z
K Mohan Rao & Co,K,5.0,2 Ratings,"Urs Road Devaraja Mohalla, Mysore",,,GST Return; TDS Return; Income Tax Return,true,true,false,false,false,Experienced Chartered Accountants and CA Firms,,Chamarajanagar,2025-06-04T09:33:54.656Z
M R Jagadish Rao,M,3.0,1 Ratings,"3rd Floor Ramaswamy Circle, Mysore",,,GST Return; TDS Return; Income Tax Return,true,true,false,false,false,Experienced Chartered Accountants and CA Firms,,Chamarajanagar,2025-06-04T09:33:54.656Z
P V Karthikeyan,+,4.4,24 Ratings,"Road K Block Kuvempunagar, Mysore",,,GST Return; TDS Return; Income Tax Return,true,true,false,true,true,Experienced Chartered Accountants and CA Firms,,Chamarajanagar,2025-06-04T09:33:54.656Z
B N Ashok Kumar & Co,B,5.0,2 Ratings,"Anikethana Road Kuvempunagar, Mysore",,,GST Return; TDS Return; Income Tax Return,false,true,false,false,false,Experienced Chartered Accountants and CA Firms,,Chamarajanagar,2025-06-04T09:33:54.656Z
Arogya Raj Loyed,A,2.5,1 Ratings,"Lashkar Mohalla, Mysore",,,GST Return; TDS Return; Income Tax Return,false,true,false,false,false,Experienced Chartered Accountants and CA Firms,,Chamarajanagar,2025-06-04T09:33:54.656Z
Varun Kumar Jain & Co,V,4.8,15 Ratings,"Road Narayan Shastri Road, Mysore",,,GST Return; TDS Return; Income Tax Return,true,true,false,false,false,Experienced Chartered Accountants and CA Firms,,Chamarajanagar,2025-06-04T09:33:54.656Z
H S Prakash And Company,H,4.9,4 Ratings,"Vinob Road Shivarampet, Mysore",,,GST Return; TDS Return; Income Tax Return,true,true,false,false,false,Experienced Chartered Accountants and CA Firms,,Chamarajanagar,2025-06-04T09:33:54.656Z
Devaiah And Co,D,5.0,1 Ratings,"Subbaiah Road Chamaraja Mohalla, Mysore",,,GST Return; TDS Return; Income Tax Return,true,true,false,false,false,Experienced Chartered Accountants and CA Firms,,Chamarajanagar,2025-06-04T09:33:54.656Z
K A K And Associates,+,5.0,7 Ratings,"Akbar Road Mandi Mohalla, Mysore",,,ITR Filing; Income Tax Return; TDS Return,true,true,false,false,true,Experienced Chartered Accountants and CA Firms,,Chamarajanagar,2025-06-04T09:33:54.656Z
Manjunath & Company,M,4.0,2 Ratings,"N Jois Street Chamaraja Mohalla, Mysore",,,GST Return; TDS Return; Income Tax Return,true,true,false,false,false,Experienced Chartered Accountants and CA Firms,,Chamarajanagar,2025-06-04T09:33:54.656Z
Umesh & Co,U,4.5,6 Ratings,"11th Main Road Saraswathipuram, Mysore",,,GST Return; TDS Return; Income Tax Return,false,true,false,false,false,Experienced Chartered Accountants and CA Firms,,Chamarajanagar,2025-06-04T09:33:54.656Z
B S Nagesh,B,5.0,12 Ratings,"5 Th Cross Saraswathipuram, Mysore",,,GST Return; TDS Return; Income Tax Return,true,true,false,true,false,Experienced Chartered Accountants and CA Firms,,Chamarajanagar,2025-06-04T09:33:54.656Z
L Prasad,L,5.0,1 Ratings,"Pampapathi Road Saraswathipuram, Mysore",,,GST Return; TDS Return; Income Tax Return,true,true,false,false,false,Experienced Chartered Accountants and CA Firms,,Chamarajanagar,2025-06-04T09:33:54.656Z
Harish,H,4.0,1 Ratings,"Saraswathipuram, Mysore",,,GST Return; TDS Return; Income Tax Return,true,true,false,false,false,Experienced Chartered Accountants and CA Firms,,Chamarajanagar,2025-06-04T09:33:54.656Z
Blacksands Management Consulting,+,4.4,20 Ratings,"Kantharaj Urs Road Kuvempunagar, Mysore",,08511316464,Accounting; GST Return; NRI ITR Filing,true,true,false,true,true,Experienced Chartered Accountants and CA Firms,,Chamarajanagar,2025-06-04T09:33:54.656Z
Mahesh R & Co,M,5.0,8 Ratings,"Street Narasimharaja Mohalla, Mysore",,,GST Return; TDS Return; Income Tax Return,true,true,false,false,true,Experienced Chartered Accountants and CA Firms,,Chamarajanagar,2025-06-04T09:33:54.656Z
Manjunatha And Shobhavathi,M,3.8,8 Ratings,"16th Main Saraswathipuram, Mysore",,,Wheel Chair Accessible Entrance And Exit; GST Return; TDS Return,true,true,false,false,false,Experienced Chartered Accountants and CA Firms,,Chamarajanagar,2025-06-04T09:33:54.656Z
Hariharan & Co,+,4.6,53 Ratings,"NR Mohalla Narasimharaja Mohalla, Mysore",,,GST Return; TDS Return; Income Tax Return,false,true,false,false,true,Experienced Chartered Accountants and CA Firms,,Chamarajanagar,2025-06-04T09:33:54.657Z
B A Ganapathy & Co,B,5.0,2 Ratings,"16th Main Saraswathipuram, Mysore",,,GST Return; TDS Return; Income Tax Return,true,true,false,false,false,Experienced Chartered Accountants and CA Firms,,Chamarajanagar,2025-06-04T09:33:54.657Z
Jagadeesh,J,5.0,1 Ratings,"Saraswathipuram, Mysore",,,GST Return; TDS Return; Income Tax Return,true,true,false,false,false,Experienced Chartered Accountants and CA Firms,,Chamarajanagar,2025-06-04T09:33:54.657Z
Srinivas K And Associates,S,5.0,2 Ratings,"Road Ramakrishnanagar, Mysore",,,GST Return; TDS Return; Income Tax Return,true,true,false,false,false,Experienced Chartered Accountants and CA Firms,,Chamarajanagar,2025-06-04T09:33:54.657Z
Wayfin Tax Solutions,W,4.9,16 Ratings,"Kabir Temple Road Iningere, Mysore",,,GST Return; TDS Return; Income Tax Return,true,true,false,false,false,Experienced Chartered Accountants and CA Firms,,Chamarajanagar,2025-06-04T09:33:54.657Z
Sastry & Co(ni),S,5.0,2 Ratings,"Kantharaja Urs Road Lakshmipuram, Mysore",,,GST Return; TDS Return; Income Tax Return,false,true,false,false,false,Experienced Chartered Accountants and CA Firms,,Chamarajanagar,2025-06-04T09:33:54.658Z
Gowtham,G,5.0,1 Ratings,"Devaraja Mohalla, Mysore",,,GST Return; TDS Return; Income Tax Return,false,true,false,false,false,Experienced Chartered Accountants and CA Firms,,Chamarajanagar,2025-06-04T09:33:54.658Z
MTR & Co,+,4.8,34 Ratings,"Temple Road Jayalakshmipuram, Mysore",,,GST Return; TDS Return; Income Tax Return,true,true,false,false,true,Experienced Chartered Accountants and CA Firms,,Chamarajanagar,2025-06-04T09:33:54.659Z
T Chetan Bhati & Co.,T,5.0,3 Ratings,"Mysuru Jayalakshmipuram, Mysore",,,Wheel Chair Accessible Entrance And Exit; GST Return; TDS Return,false,true,false,false,false,Experienced Chartered Accountants and CA Firms,,Chamarajanagar,2025-06-04T09:33:54.659Z
Thejaswini & Co,T,4.6,5 Ratings,"Temple Road Jayalakshmipuram, Mysore",,,GST Return; TDS Return; Income Tax Return,true,true,false,false,false,Experienced Chartered Accountants and CA Firms,,Chamarajanagar,2025-06-04T09:33:54.659Z
Elite Accountingpro Llp,E,4.8,13 Ratings,"Road2nd Cross Vani Vilas Mohalla, Mysore",,,GST Return; TDS Return; Income Tax Return,false,true,false,false,false,Experienced Chartered Accountants and CA Firms,,Chamarajanagar,2025-06-04T09:33:54.659Z
Hariharan And Company Ca,H,4.0,1 Ratings,"Narasimharaja Mohalla, Mysore",,,GST Return; TDS Return; Income Tax Return,true,true,false,false,false,Experienced Chartered Accountants and CA Firms,,Chamarajanagar,2025-06-04T09:33:54.659Z
NJS Tax And HR Consultants,N,4.5,12 Ratings,"Kalidasa Road Jayalakshmipuram, Mysore",,,GST Return; TDS Return; Income Tax Return,true,true,false,false,true,Experienced Chartered Accountants and CA Firms,,Chamarajanagar,2025-06-04T09:33:54.659Z
Surendra Hegde & Co,S,4.4,17 Ratings,"Gokulam, Mysore",,,GST Return; TDS Return; Income Tax Return,true,true,false,false,true,Experienced Chartered Accountants and CA Firms,,Chamarajanagar,2025-06-04T09:33:54.659Z
S Bhargava And Co,+,4.9,75 Ratings,"Vijaynagar Mysore, Mysore",,,Wheel Chair Accessible Entrance And Exit; GST Return; TDS Return,false,true,false,false,true,Experienced Chartered Accountants and CA Firms,,Chamarajanagar,2025-06-04T09:33:54.659Z
Phani Datta And Associates,P,4.0,2 Ratings,"19th Cross Vidyaranyapuram, Mysore",,,Company Secretary; CA,true,true,false,false,false,Experienced Chartered Accountants and CA Firms,,Chamarajanagar,2025-06-04T09:33:54.659Z
Jayashri R And Associates,J,3.0,1 Ratings,"3rd A Main Gokulam 2nd Stage, Mysore",,,GST Return; TDS Return; Income Tax Return,true,true,false,false,false,Experienced Chartered Accountants and CA Firms,,Chamarajanagar,2025-06-04T09:33:54.659Z
Francis P W & Co,F,3.8,5 Ratings,"Main Road Jayalakshmipuram, Mysore",,,Wheel Chair Accessible Entrance And Exit; GST Return; TDS Return,true,true,false,false,false,Experienced Chartered Accountants and CA Firms,,Chamarajanagar,2025-06-04T09:33:54.659Z
AP Chandrashekar,A,0,0 Ratings,"Kollegal Kollegal, Chamarajanagar",,,GST Return; TDS Return; Income Tax Return,true,true,false,false,false,Experienced Chartered Accountants and CA Firms,,Chamarajanagar,2025-06-04T09:33:54.659Z
Arun Kumar,A,0,0 Ratings,"Chamarajanagar Ho, Chamarajanagar",,,GST Return; TDS Return; Income Tax Return,true,true,false,false,false,Experienced Chartered Accountants and CA Firms,,Chamarajanagar,2025-06-04T09:33:54.659Z
Girish,G,0,0 Ratings,"Kollegal Southern Extn, Chamarajanagar",,,GST Return; TDS Return; Income Tax Return,true,true,false,false,false,Experienced Chartered Accountants and CA Firms,,Chamarajanagar,2025-06-04T09:33:54.660Z
Divya,D,0,0 Ratings,"Nanjangud, Mysore",,,GST Return; TDS Return; Income Tax Return,true,true,false,false,false,Experienced Chartered Accountants and CA Firms,,Chamarajanagar,2025-06-04T09:33:54.660Z
