name,initial,rating,totalRatings,address,distance,phone,tags,hasWhatsApp,hasEnquiry,isTrusted,isVerified,isPopular,category,subcategory,city,timestamp
Whirlpool India Service Centre,+,3.8,17 Ratings,"Llr Road, Shimoga",,,Refrigerator Repair & Services-Whirlpool; Washing Machine Repair & Services,true,true,false,false,false,AC Repair & Services,,Shivamogga,2025-06-03T13:19:42.488Z
Royal Enterprises,+,4.4,14 Ratings,"M V Bh Road Shimoga, Shimoga",,,AC Dealers-Carrier; Electronic Goods Showrooms,true,true,false,false,true,AC Repair & Services,,Shivamogga,2025-06-03T13:19:42.488Z
Smart Tech Zone,S,4.9,12 Ratings,"Gurpura Shimoga HO, Shimoga",,,Refrigerator Repair & Services; Washing Machine Repair & Services,true,true,false,false,true,AC Repair & Services,,Shivamogga,2025-06-03T13:19:42.488Z
Cool City,+,3.9,15 Ratings,"Hirekerur Road Shiralakoppa, Shimoga",,,Refrigerator Repair & Services-National; Washing Machine Repair & Services,true,true,false,false,false,AC Repair & Services,,Shivamogga,2025-06-03T13:19:42.488Z
Quadri Cooling System,Q,4.5,12 Ratings,"2nd Stage 3rd Cross Shimoga, Shimoga",,,Washing Machine Repair & Services-IFB; Washing Machine Repair & Services,true,true,false,true,true,AC Repair & Services,,Shivamogga,2025-06-03T13:19:42.488Z
J R Refrigeration Service,+,3.5,12 Ratings,"2nd Cross Garden Area, Shimoga",,,Industrial Refrigerator Repair & Services; Washing Machine Repair & Services,true,true,false,false,false,AC Repair & Services,,Shivamogga,2025-06-03T13:19:42.488Z
K S Electronic Repair and Services,+,5.0,8 Ratings,"Nallinakoppa Shikaripur, Shimoga",,,Washing Machine Repair & Services; AC Repair & Services,true,true,false,false,true,AC Repair & Services,,Shivamogga,2025-06-03T13:19:42.488Z
Sri Durgamba Electrical Service Center,+,5.0,8 Ratings,"Bengaluru Honnavar Road, Sagara",,,AC Repair & Services; Refrigerator Repair & Services,true,true,false,false,true,AC Repair & Services,,Shivamogga,2025-06-03T13:19:42.488Z
Ayub Khan Technician,A,4.8,8 Ratings,"K R Puram, Shimoga",,,Refrigerator Repair & Services; Washing Machine Repair & Services,true,true,false,false,true,AC Repair & Services,,Shivamogga,2025-06-03T13:19:42.488Z
N B Technologies,+,4.2,9 Ratings,"4th Paralle Road RML Nagar, Shimoga",,,Refrigerator Repair & Services-Electrolux; Washing Machine Repair & Services,true,true,false,false,true,AC Repair & Services,,Shivamogga,2025-06-03T13:19:42.489Z
N B Technology,+,4.2,9 Ratings,"4th Parallel Road RML Nagara, Shimoga",,,Washing Machine Repair & Services; AC Repair & Services,true,true,false,false,true,AC Repair & Services,,Shivamogga,2025-06-03T13:19:42.489Z
Cool Refrigerations And Services,+,3.9,8 Ratings,"Bhadravathi Old Town, Bhadravathi-Karnataka",,,AC Dealers; Washing Machine Repair & Services,true,true,false,false,false,AC Repair & Services,,Shivamogga,2025-06-03T13:19:42.489Z
S Home Care Services,S,4.3,7 Ratings,"Vinoba Nagar, Shimoga",,,24 Hours AC Repair & Services; Washing Machine Repair & Services,true,true,false,false,true,AC Repair & Services,,Shivamogga,2025-06-03T13:19:42.489Z
Sri Bhavani Electrical And Electronic,+,3.8,7 Ratings,"Road Ayanur Bh Road Shimoga, Shimoga",,,Washing Machine Repair & Services; TV Repair & Services,true,true,false,false,false,AC Repair & Services,,Shivamogga,2025-06-03T13:19:42.489Z
Cool Tech Solutions,C,5.0,5 Ratings,"Durgigudi, Shimoga",,,Industrial Refrigerator Repair & Services; Washing Machine Repair & Services,true,true,false,false,true,AC Repair & Services,,Shivamogga,2025-06-03T13:19:42.489Z
Sohail Refrigerator,+,5.0,4 Ratings,"Main Road Gopala Gowda Extension, Shimoga",,,Washing Machine Repair & Services; AC Repair & Services,true,true,false,false,false,AC Repair & Services,,Shivamogga,2025-06-03T13:19:42.489Z
Quality Refrigeration & Air Conditioning Solution,+,4.5,4 Ratings,"Tarikere Road, Bhadravathi-Karnataka",,,Washing Machine Repair & Services; AC Repair & Services,true,true,false,false,true,AC Repair & Services,,Shivamogga,2025-06-03T13:19:42.489Z
Blue Light House,+,4.0,4 Ratings,"Gopala Road Tippu Nagar, Shimoga",,,Washing Machine Repair & Services; AC Repair & Services,true,true,false,false,false,AC Repair & Services,,Shivamogga,2025-06-03T13:19:42.489Z
Zee Electronics,+,5.0,3 Ratings,"Kr Puram Road Kr Puram Shimoga, Shimoga",,,LED TV Dealers; Washing Machine Repair & Services,true,true,false,false,true,AC Repair & Services,,Shivamogga,2025-06-03T13:19:42.489Z
Smart care applaiance service,+,5.0,3 Ratings,"1st Stage Shimoga City, Shimoga",,,Refrigerator Repair & Services; Washing Machine Repair & Services,true,true,false,false,false,AC Repair & Services,,Shivamogga,2025-06-03T13:19:42.489Z
Ar Cool Tech,+,2.9,5 Ratings,"6th Cross Gopala Extension, Shimoga",,,Washing Machine Repair & Services-Samsung; Washing Machine Repair & Services,false,true,false,false,false,AC Repair & Services,,Shivamogga,2025-06-03T13:19:42.489Z
Adithya Customer Care,A,4.8,3 Ratings,"2nd Cross Durgigudi, Shimoga",,,Washing Machine Repair & Services; TV Repair & Services,true,true,false,false,false,AC Repair & Services,,Shivamogga,2025-06-03T13:19:42.490Z
jr cooling solution,+,4.7,3 Ratings,"Shimoga Market, Shimoga",,,AC Repair & Services,true,true,false,false,false,AC Repair & Services,,Shivamogga,2025-06-03T13:19:42.490Z
Deena Service,+,4.5,3 Ratings,"Station Road Balaraj Urs Road, Shimoga",,,Refrigerator Repair & Services-Videocon; Washing Machine Repair & Services,true,true,false,false,true,AC Repair & Services,,Shivamogga,2025-06-03T13:19:42.490Z
Gagan Electricals,+,4.5,3 Ratings,"Main Road Vinoba Nagar, Shimoga",,,AC Repair & Services; Refrigerator Repair & Services,true,true,false,false,false,AC Repair & Services,,Shivamogga,2025-06-03T13:19:42.490Z
SLV Electronics,S,4.3,3 Ratings,"Nandi Complex Savalanga Road, Shimoga",,,Electronic Goods Repair & Services; AC Repair & Services,false,true,false,false,false,AC Repair & Services,,Shivamogga,2025-06-03T13:19:42.490Z
R M Refrigerator,R,4.3,3 Ratings,"Gandhi Bazar Gandhi Bazar, Shimoga",,,AC Repair & Services; Refrigerator Repair & Services,false,true,false,false,false,AC Repair & Services,,Shivamogga,2025-06-03T13:19:42.490Z
raw refrigeration,+,3.5,3 Ratings,"Garden Area Kuvempu Road, Shimoga",,,Washing Machine Repair & Services; AC Repair & Services,true,true,false,false,false,AC Repair & Services,,Shivamogga,2025-06-03T13:19:42.490Z
IFB Service Center,I,5.0,2 Ratings,"Vinob Nagara, Shimoga",,,Automatic Washing Machine Repair & Services-IFB; Washing Machine Repair & Services,true,true,false,false,true,AC Repair & Services,,Shivamogga,2025-06-03T13:19:42.490Z
G J Internet And Xerox,G,5.0,2 Ratings,"Hosamane Bhadravathi, Bhadravathi-Karnataka",,,Colour Photocopying Centres; AC Repair & Services,true,true,false,false,true,AC Repair & Services,,Shivamogga,2025-06-03T13:19:42.490Z
Akiras Home Appliances Sales & Service,+,5.0,2 Ratings,"Main Road Achutha Rao Layout, Shimoga",,,Refrigerator Repair & Services; Washing Machine Repair & Services,true,true,false,false,false,AC Repair & Services,,Shivamogga,2025-06-03T13:19:42.490Z
V R Solutions k,V,4.3,2 Ratings,"SR Road Vidya Nagar Shimoga, Shimoga",,,AC Repair & Services; Refrigerator Repair & Services,true,true,false,false,false,AC Repair & Services,,Shivamogga,2025-06-03T13:19:42.490Z
Fern's Cool Solution,F,4.0,2 Ratings,"Church Road Sagar Shimoga, Sagara",,,AC Repair & Services; Electronic Goods Repair & Services,true,true,false,false,false,AC Repair & Services,,Shivamogga,2025-06-03T13:19:42.491Z
S P Electronics,+,3.5,2 Ratings,"Stage 1st Vinoba Nagar Shimoga, Shimoga",,,Electronic Goods Repair & Services; AC Repair & Services,true,true,false,false,false,AC Repair & Services,,Shivamogga,2025-06-03T13:19:42.491Z
Comfort care solutions,+,3.3,2 Ratings,"By Pass Road Sulebailu Urgadur, Shimoga",,,Washing Machine Repair & Services; AC Repair & Services,true,true,false,false,false,AC Repair & Services,,Shivamogga,2025-06-03T13:19:42.491Z
Jog Refrigeration And Elctricals,J,2.8,2 Ratings,"Bh Road Sagar Shimoga, Sagara",,,Refrigerator Repair & Services-Panasonic; Washing Machine Repair & Services,true,true,false,false,false,AC Repair & Services,,Shivamogga,2025-06-03T13:19:42.491Z
Cool Mount Refrigeration,C,5.0,1 Ratings,"Durgigudi Main Road Durgigudi, Shimoga",,,AC Repair & Services; Washing Machine Dealers,true,true,false,false,true,AC Repair & Services,,Shivamogga,2025-06-03T13:19:42.491Z
Babulal Electronic's,+,5.0,1 Ratings,"Shivamogga Gandhi Bazar, Shimoga",,,Electronic Goods Repair & Services; Electronic Goods Showrooms,true,true,false,false,false,AC Repair & Services,,Shivamogga,2025-06-03T13:19:42.491Z
AR Electronics and Electricals,+,5.0,1 Ratings,"2nd Parallel Road Gandhi Nagar, Shimoga",,,Refrigerator Repair & Services; Washing Machine Repair & Services,true,true,false,false,true,AC Repair & Services,,Shivamogga,2025-06-03T13:19:42.491Z
Star Home Appliances,S,5.0,1 Ratings,"Tippu Nagar Road Shimoga Market, Shimoga",,,Washing Machine Repair & Services; AC Repair & Services,true,true,false,false,false,AC Repair & Services,,Shivamogga,2025-06-03T13:19:42.491Z
S A Technology,+,5.0,1 Ratings,"T Main Bh Road Shimoga, Shimoga",,,AC Repair & Services; Electronic Goods Repair & Services,true,true,false,false,false,AC Repair & Services,,Shivamogga,2025-06-03T13:19:42.491Z
Zs Refrigeration,+,5.0,1 Ratings,"Shivmogha Road, Shimoga",,,Washing Machine Repair & Services; AC Repair & Services,true,true,false,false,false,AC Repair & Services,,Shivamogga,2025-06-03T13:19:42.491Z
Fiona Service,+,4.5,1 Ratings,"Vinoba Nagar, Shimoga",,,LED TV Repair & Services; Washing Machine Repair & Services,true,true,false,false,false,AC Repair & Services,,Shivamogga,2025-06-03T13:19:42.491Z
T T P Home Appliences Repairs And Solutions,+,3.0,1 Ratings,"BHADRAVATHI Cn Road Bhadravathi, Bhadravathi-Karnataka",,,Washing Machine Repair & Services; TV Repair & Services,true,true,false,false,false,AC Repair & Services,,Shivamogga,2025-06-03T13:19:42.491Z
Siya Electronics Sales & Services,S,3.0,1 Ratings,"Llr Road Durgigudi, Shimoga",,,Electronic Goods Repair & Services; AC Repair & Services,true,true,false,false,false,AC Repair & Services,,Shivamogga,2025-06-03T13:19:42.491Z
Sagar Refrigeration And Services,S,3.5,5 Ratings,"Gandhi Circle Tarikere, Chikmagalur",,,Refrigerator Repair & Services-Samsung; Refrigerator Repair & Services,true,true,false,false,false,AC Repair & Services,,Shivamogga,2025-06-03T13:19:42.492Z
Cool Refrigeration Services,+,4.5,17 Ratings,"Kodicamp Tarikere, Chikmagalur",,,Delivery Available; Same Day Delivery,true,true,false,false,true,AC Repair & Services,,Shivamogga,2025-06-03T13:19:42.492Z
Unique Mobile,+,4.4,22 Ratings,"Tipu Circle Channagiri, Davangere",,,Mobile Phone Dealers; Electronic Goods Showrooms,true,true,false,true,true,AC Repair & Services,,Shivamogga,2025-06-03T13:19:42.492Z
IFB Service Center,I,4.2,15 Ratings,"Thilak Road Kelakuli, Koppa",,,Washing Machine AMC-IFB; Front Loading Washing Machine AMC,true,true,false,false,true,AC Repair & Services,,Shivamogga,2025-06-03T13:19:42.492Z
Sri Kalleshwara Radio Electronics (JioMart Digital Partner),+,3.9,78 Ratings,"Swamy Temple Street Kadur, Chikmagalur",,,AC Dealers; Electronic Goods Showrooms,true,true,false,false,false,AC Repair & Services,,Shivamogga,2025-06-03T13:19:42.492Z
New Refrigeration Point,+,3.8,14 Ratings,"TB Road Kadur, Chikmagalur",,,Electronic Goods Repair & Services; Refrigerator Repair & Services,true,true,false,false,false,AC Repair & Services,,Shivamogga,2025-06-03T13:19:42.492Z
Nayak Refrigeration And Electronics,N,3.8,5 Ratings,"Street Mallikarjuna Street, Sringeri",,,Washing Machine Repair & Services; AC Repair & Services,true,true,false,false,false,AC Repair & Services,,Shivamogga,2025-06-03T13:19:42.492Z
Shamanth M E P Services,+,4.9,5 Ratings,"A Block Biet, Davangere",,,AC Repair & Services; Electronic Goods Repair & Services,true,true,false,false,true,AC Repair & Services,,Shivamogga,2025-06-03T13:19:42.492Z
Sneha Cool Tech,+,4.3,29 Ratings,"Hadadi Road 13th Cross Road, Davangere",,07041820674,AC Repair & Services; AC Dealers-Blue Star,true,true,false,true,true,AC Repair & Services,,Shivamogga,2025-06-03T13:19:42.492Z
Raksha Technical Services,R,4.4,16 Ratings,"Bapuji Vidyanagar Davangere, Davangere",,,AC Repair & Services; Electronic Goods Repair & Services,true,true,false,false,false,AC Repair & Services,,Shivamogga,2025-06-03T13:19:42.492Z
N Repairs,N,4.5,1 Ratings,"MCC Block Davangere, Davangere",,,Washing Machine Repair & Services; AC Repair & Services,true,true,false,false,false,AC Repair & Services,,Shivamogga,2025-06-03T13:19:42.493Z
Galaxy Water Treat,+,3.3,4 Ratings,"Shankar Vihar Pb Road Davangere, Davangere",,,Electronic Goods Showrooms; Washing Machine Repair & Services,true,true,false,false,false,AC Repair & Services,,Shivamogga,2025-06-03T13:19:42.493Z
Sri Gururaghavendra Tv Centre,+,3.5,1 Ratings,"C B Road Holalkere, Chitradurga",,,AC Dealers; Mobile Phone Dealers,true,true,false,true,false,AC Repair & Services,,Shivamogga,2025-06-03T13:19:42.493Z
Gunika Enterprises,+,4.7,10 Ratings,"Road Sakrepatna Chikmagalur, Chikmagalur",,08511090988,Water Purifier Repair & Services; AC Repair & Services,true,true,false,true,true,AC Repair & Services,,Shivamogga,2025-06-03T13:19:42.493Z
Vaiva Aircondition & Refrigeration,+,5.0,2 Ratings,"BIET Road Mcc, Davangere",,,Refrigerator Repair & Services; Washing Machine Repair & Services,true,true,false,false,true,AC Repair & Services,,Shivamogga,2025-06-03T13:19:42.493Z
Mkr Comfort Cooling,+,4.7,26 Ratings,"Halli Vidya Nagar Davangere, Davangere",,,AC Repair & Services-Daikin; AC Repair & Services,true,true,false,true,true,AC Repair & Services,,Shivamogga,2025-06-03T13:19:42.493Z
S G Refrigeration & Air Conditioners,+,4.3,3 Ratings,"Boys Hostel Road Mcc, Davangere",,,Refrigerator Repair & Services-Godrej; Washing Machine Repair & Services,true,true,false,false,true,AC Repair & Services,,Shivamogga,2025-06-03T13:19:42.493Z
S.G REFRIGERATON AND AIR CONDITION,+,5.0,1 Ratings,"7th Main Road Mcc, Davangere",,,Refrigerator Repair & Services; Washing Machine Repair & Services,true,true,false,false,true,AC Repair & Services,,Shivamogga,2025-06-03T13:19:42.493Z
M P Refrigeration,+,4.4,20 Ratings,"Main Road Vidya Nagar, Davangere",,,Refrigerator Repair & Services; Washing Machine Repair & Services,true,true,false,false,true,AC Repair & Services,,Shivamogga,2025-06-03T13:19:42.493Z
MKR Comfort Cooling,+,4.2,5 Ratings,"Mcc B Block Davanagere Mcc, Davangere",,,AC Repair & Services; Electronic Goods Repair & Services,true,true,false,false,false,AC Repair & Services,,Shivamogga,2025-06-03T13:19:42.493Z
Smart Networking Solutions,+,4.8,29 Ratings,"Davanagere Harihar Bypass, Davangere",,,AC Repair & Services; 24 Hours AC Repair & Services,true,true,false,false,true,AC Repair & Services,,Shivamogga,2025-06-03T13:19:42.493Z
Alloy AIR Condition,+,2.7,3 Ratings,"4th Cross Kalidas Nagar, Harihar",,,AC Repair & Services; Refrigerator Repair & Services,false,true,false,false,false,AC Repair & Services,,Shivamogga,2025-06-03T13:19:42.493Z
Videocon Service Care Centre,V,4.4,8 Ratings,"K B Extn Davangere Ho, Davangere",,,AC Repair & Services-Videocon; AC Repair & Services,false,true,false,false,true,AC Repair & Services,,Shivamogga,2025-06-03T13:19:42.493Z
Cool House,+,3.5,3 Ratings,"Feet Road Nittuvalli Davangere, Davangere",,,Refrigerator Repair & Services-Godrej; Washing Machine Repair & Services,true,true,false,false,false,AC Repair & Services,,Shivamogga,2025-06-03T13:19:42.494Z
Sk Refrigeration & Electrical Enterprises,+,2.8,2 Ratings,"Kasturba Extension Davangere, Davangere",,,Washing Machine Dealers-LG; Electronic Goods Showrooms,true,true,false,false,false,AC Repair & Services,,Shivamogga,2025-06-03T13:19:42.494Z
Add Cool Service,+,4.9,100 Ratings,"Road Pj Extension Davangere, Davangere",,,AC Repair & Services,true,true,false,false,true,AC Repair & Services,,Shivamogga,2025-06-03T13:19:42.494Z
Vigneshwara Technology,+,4.1,7 Ratings,"Lawyer Jayadeva Circle Davangere, Davangere",,,Washing Machine Repair & Services; AC Repair & Services,true,true,false,false,true,AC Repair & Services,,Shivamogga,2025-06-03T13:19:42.494Z
N K Cooling Solution,N,4.8,4 Ratings,"Road Nittuvalli Road Davangere, Davangere",,,AC Repair & Services; Electronic Goods Repair & Services,false,true,false,false,false,AC Repair & Services,,Shivamogga,2025-06-03T13:19:42.494Z
Cool Comfort System,+,3.2,7 Ratings,"Vinobhanagara Extn Davangere, Davangere",,,AC Installation Services; AC Repair & Services,true,true,false,false,false,AC Repair & Services,,Shivamogga,2025-06-03T13:19:42.494Z
R B Refrigeration & Electricals,+,4.7,24 Ratings,"3th Cross Ellamma Nagar, Davangere",,,Refrigerator Repair & Services; Washing Machine Repair & Services,true,true,false,false,true,AC Repair & Services,,Shivamogga,2025-06-03T13:19:42.494Z
Santosh Ac Services,S,4.3,3 Ratings,"Vinoba Nagar, Davangere",,,AC Repair & Services; Garages,false,true,false,false,false,AC Repair & Services,,Shivamogga,2025-06-03T13:19:42.495Z
Protech Engineering,P,3.5,2 Ratings,"2main 2croos Vinoba Nagar, Davangere",,07490039196,Washing Machine Repair & Services; AC Repair & Services,true,true,false,false,false,AC Repair & Services,,Shivamogga,2025-06-03T13:19:42.495Z
