name,initial,imageUrl,rating,totalRatings,address,distance,phone,tags,hasWhatsApp,hasEnquiry,isTrusted,isVerified,isPopular,category,city,timestamp
Fixnow Home Care,+,,5.0,525 Ratings,"Ramasamy Konar Street Hopes, Coimbatore",,08487825277,,true,true,false,false,true,AC Repair & Services,"Thiruvenkadam Street, Coimbatore",2025-05-28T06:57:48.457Z
Sam AIR Cool Service,+,,4.4,47 Ratings,"Car Street 2 Sowripalayam, Coimbatore",,07041930139,Split AC Installation Services-LG|AC Repair & Services,true,true,false,true,true,AC Repair & Services,"Thiruvenkadam Street, Coimbatore",2025-05-28T06:57:48.457Z
Kovai Cool System,+,,4.0,73 Ratings,"Sanganur Main Road Ganapathy, Coimbatore",,09054273128,Refrigerator Repair & Services|AC Repair & Services,true,true,false,true,true,AC Repair & Services,"Thiruvenkadam Street, Coimbatore",2025-05-28T06:57:48.457Z
S M AIR Conditioners,+,,4.5,51 Ratings,"Kovil Thottam Udayampalayam, Coimbatore",,09845424606,AC Repair & Services|AC Installation Services,true,true,false,false,true,AC Repair & Services,"Thiruvenkadam Street, Coimbatore",2025-05-28T06:57:48.457Z
Green Air Systems,+,,4.1,63 Ratings,"Nagar 3rd Street Singanallur, Coimbatore",,09054596323,AC Dealers-Daikin|AC Repair & Services,true,true,false,true,true,AC Repair & Services,"Thiruvenkadam Street, Coimbatore",2025-05-28T06:57:48.458Z
GEEJAY Services,+,,5.0,5 Ratings,"Ramanathapuram Coimbatore, Coimbatore",,08401286031,AC Repair & Services|AC Installation Services,true,true,false,false,true,AC Repair & Services,"Thiruvenkadam Street, Coimbatore",2025-05-28T06:57:48.458Z
BEST Service Engineer,+,,4.8,56 Ratings,"HUDCO Colony Peelamedu, Coimbatore",,09725302412,Washing Machine Repair & Services|AC Repair & Services,true,true,false,true,true,AC Repair & Services,"Thiruvenkadam Street, Coimbatore",2025-05-28T06:57:48.458Z
Arul Ac Service Centre,+,,4.1,19 Ratings,"Masakalipalayam Uppilipalayam, Coimbatore",,,AC Repair & Services|Car AC Repair & Services,true,true,false,false,true,AC Repair & Services,"Thiruvenkadam Street, Coimbatore",2025-05-28T06:57:48.459Z
Sri Subhalakshmi Home Care,+,,4.8,"1,067 Ratings","3rd Cross Road Peelamedu, Coimbatore",,09606274638,AC Repair & Services|Washing Machine Repair & Services,true,true,false,true,true,AC Repair & Services,"Thiruvenkadam Street, Coimbatore",2025-05-28T06:57:48.459Z
Saravanan Electrician,+,,4.8,180 Ratings,"Thudiyalur NGGO Colony, Coimbatore",,08511724630,Motor Pump|24 Hours Open|Fan,true,true,false,false,true,AC Repair & Services,"Thiruvenkadam Street, Coimbatore",2025-05-28T06:57:48.459Z
Zen Coolers,,,4.0,12 Ratings,"Keeranatham Road Saravanampatti, Coimbatore",,08123858990,AC Repair & Services|AC Repair & Services-LG,true,true,false,false,false,AC Repair & Services,"Thiruvenkadam Street, Coimbatore",2025-05-28T06:57:48.459Z
Musara Tech Solutions,+,,4.7,205 Ratings,"Revenue Nagar Saravanampatti, Coimbatore",,09845221011,,true,true,false,false,true,AC Repair & Services,"Thiruvenkadam Street, Coimbatore",2025-05-28T06:57:48.459Z
Rr Coolers,+,,4.4,123 Ratings,"Keeranatham Saravanampatti, Coimbatore",,08460265153,,true,true,false,true,true,AC Repair & Services,"Thiruvenkadam Street, Coimbatore",2025-05-28T06:57:48.459Z
Pat Service,+,,4.3,24 Ratings,"Sathy Road Saravanampatti, Coimbatore",,08904251945,Washing Machine Repair & Services|AC Repair & Services,true,true,false,true,true,AC Repair & Services,"Thiruvenkadam Street, Coimbatore",2025-05-28T06:57:48.460Z
Perfect Engineering,+,,4.5,4 Ratings,"Kalapatti Mainroad Nehru Nagar, Coimbatore",,08904989976,TV Repair & Services|AC Repair & Services,true,true,false,false,true,AC Repair & Services,"Thiruvenkadam Street, Coimbatore",2025-05-28T06:57:48.460Z
Philips Engineering,+,,4.3,20 Ratings,"Karattumedu Saravanampatti, Coimbatore",,,Refrigerator Repair & Services-Videocon|AC Repair & Services,true,true,false,false,true,AC Repair & Services,"Thiruvenkadam Street, Coimbatore",2025-05-28T06:57:48.460Z
Gold King Ac Service,+,,4.7,30 Ratings,"Varadhar Palayam Saravanampatti, Coimbatore",,08460494810,Washing Machine Repair & Services|AC Repair & Services,true,true,false,false,true,AC Repair & Services,"Thiruvenkadam Street, Coimbatore",2025-05-28T06:57:48.460Z
Nivells System,+,,5.0,21 Ratings,"NEEL GARDEN Athipalayam, Coimbatore",,,AC Repair & Services|AC Installation Services,true,true,false,false,true,AC Repair & Services,"Thiruvenkadam Street, Coimbatore",2025-05-28T06:57:48.460Z
Vd Home Care Solutions,+,,4.6,14 Ratings,"Main Road Chettipalayam, Coimbatore",,08401160487,Electricians|AC Repair & Services,true,true,false,true,true,AC Repair & Services,"Thiruvenkadam Street, Coimbatore",2025-05-28T06:57:48.460Z
Sri Amman Services,,,5.0,2 Ratings,"Divin Krishna Garden Kadampadi, Coimbatore",,08460484514,AC Repair & Services|Refrigerator Repair & Services,true,true,false,false,true,AC Repair & Services,"Thiruvenkadam Street, Coimbatore",2025-05-28T06:57:48.460Z
Sathya Store,+,,4.1,"2,279 Ratings","Feet Road Gandhipuram Coimbatore, Coimbatore",,,Same Day Delivery|Company Authorised Dealer,true,true,false,false,true,AC Repair & Services,"Thiruvenkadam Street, Coimbatore",2025-05-28T06:57:48.460Z
R S Electronics,+,,4.9,378 Ratings,"Road Rs Puram Coimbatore, Coimbatore",,,AC Repair & Services|Washing Machine Repair & Services,true,true,false,false,true,AC Repair & Services,"Thiruvenkadam Street, Coimbatore",2025-05-28T06:57:48.460Z
Shree Pon Refrigeration,+,,4.5,392 Ratings,"Alagesan Road Saibaba Colony, Coimbatore",,,Refrigerator Dealers-Samsung|AC Repair & Services,true,true,false,false,true,AC Repair & Services,"Thiruvenkadam Street, Coimbatore",2025-05-28T06:57:48.460Z
Hap Serv,+,,4.5,371 Ratings,"Gounder Layout Sivananda Colony, Coimbatore",,,AC Repair & Services-Daikin|AC Repair & Services,true,true,false,false,true,AC Repair & Services,"Thiruvenkadam Street, Coimbatore",2025-05-28T06:57:48.460Z
Charan Cool Care,+,,4.6,130 Ratings,"Sastri Road Ram Nagar, Coimbatore",,,AC Repair & Services-Hitachi|AC Repair & Services,true,true,false,false,true,AC Repair & Services,"Thiruvenkadam Street, Coimbatore",2025-05-28T06:57:48.460Z
Fixodo Solutions Pvt Ltd,+,,3.6,138 Ratings,"4th Street RS Puram Coimbatore, Coimbatore",,,Split AC Repair & Services|Electricians,true,true,false,true,false,AC Repair & Services,"Thiruvenkadam Street, Coimbatore",2025-05-28T06:57:48.460Z
Godrej & Boyce Manufacturing Co Ltd,+,,4.1,90 Ratings,"D B Road Rs Puram Coimbatore, Coimbatore",,,Washing Machine Repair & Services-Godrej|AC Repair & Services,true,true,false,false,true,AC Repair & Services,"Thiruvenkadam Street, Coimbatore",2025-05-28T06:57:48.461Z
Jones coolcare,+,,4.8,73 Ratings,"Valluvar St Sivananda Colony, Coimbatore",,,AC Repair & Services|Split AC Repair & Services,true,true,false,false,true,AC Repair & Services,"Thiruvenkadam Street, Coimbatore",2025-05-28T06:57:48.461Z
Ants Queen Corp,+,,4.7,66 Ratings,"7th Street Tatabad, Coimbatore",,,solar Panel Repair,true,true,false,true,true,AC Repair & Services,"Thiruvenkadam Street, Coimbatore",2025-05-28T06:57:48.461Z
Handybird,+,,4.6,65 Ratings,"Tv Swamy Rs Puram Coimbatore, Coimbatore",,,AC Repair & Services|Split AC Repair & Services,true,true,false,false,true,AC Repair & Services,"Thiruvenkadam Street, Coimbatore",2025-05-28T06:57:48.461Z
S N Electronics,+,,3.9,76 Ratings,"Tank Road Sivananda Colony, Coimbatore",,,Solar Panel Dealers|AC Repair & Services,true,true,false,true,false,AC Repair & Services,"Thiruvenkadam Street, Coimbatore",2025-05-28T06:57:48.461Z
William Appliances,,,4.8,54 Ratings,"Raju Naidu Road Tatabad, Coimbatore",,,AC Repair & Services|Electronic Goods Repair & Services,true,true,false,false,true,AC Repair & Services,"Thiruvenkadam Street, Coimbatore",2025-05-28T06:57:48.462Z
Arun Ac Service,+,,4.5,52 Ratings,"Thikai Nager Sanganur, Coimbatore",,,AC Repair & Services|AC Installation Services,true,true,false,false,true,AC Repair & Services,"Thiruvenkadam Street, Coimbatore",2025-05-28T06:57:48.462Z
Servicetec By TVS Electronics,,,3.7,63 Ratings,"Dr Nanjappa Road Grey Town, Coimbatore",,,Electronic Goods Repair & Services|AC Repair & Services,true,true,false,false,false,AC Repair & Services,"Thiruvenkadam Street, Coimbatore",2025-05-28T06:57:48.462Z
Invention Controls,+,,4.9,47 Ratings,"Tatabad 9th Street Tatabad, Coimbatore",,,AC Repair & Services|Motor Manufacturers,true,true,false,false,false,AC Repair & Services,"Thiruvenkadam Street, Coimbatore",2025-05-28T06:57:48.462Z
Natural AIR Conditioner And Refrigeration,+,,4.7,44 Ratings,"Road Rs Puram Coimbatore, Coimbatore",,,AC Repair & Services|AC Installation Services,true,true,false,false,true,AC Repair & Services,"Thiruvenkadam Street, Coimbatore",2025-05-28T06:57:48.462Z
Upl Engineers,+,,3.8,41 Ratings,"Opp Dinakaran Office Ukkadam, Coimbatore",,,AC Repair & Services|Washing Machine Repair & Services,true,true,false,false,false,AC Repair & Services,"Thiruvenkadam Street, Coimbatore",2025-05-28T06:57:48.462Z
Anbu Electronics,+,,4.3,29 Ratings,"New Line Street Sivananda Colony, Coimbatore",,,Refrigerator Repair & Services-Siemens|AC Repair & Services,true,true,false,false,true,AC Repair & Services,"Thiruvenkadam Street, Coimbatore",2025-05-28T06:57:48.462Z
Hems Cool Care,,,4.3,26 Ratings,"100 Feet Road-Gandhipuram Coimbatore, Coimbatore",,,AC Repair & Services|Electronic Goods Repair & Services,true,true,false,false,false,AC Repair & Services,"Thiruvenkadam Street, Coimbatore",2025-05-28T06:57:48.462Z
Mani Electronics,,,4.5,24 Ratings,"Rs Puram Coimbatore, Coimbatore",,,AC Repair & Services-Daikin|AC Repair & Services,true,true,false,false,true,AC Repair & Services,"Thiruvenkadam Street, Coimbatore",2025-05-28T06:57:48.462Z
Home Guru,+,,3.4,30 Ratings,"Narayanaguru Road Saibaba Koil, Coimbatore",,,Refrigerator Repair & Services|AC Repair & Services,true,true,false,false,false,AC Repair & Services,"Thiruvenkadam Street, Coimbatore",2025-05-28T06:57:48.462Z
JRD Promotors,,,4.7,19 Ratings,"Raju Naidu Street Tatabad, Coimbatore",,,AC Repair & Services|AC Repair & Services-LG,false,true,false,false,false,AC Repair & Services,"Thiruvenkadam Street, Coimbatore",2025-05-28T06:57:48.462Z
Adonis Electronics Pvt Ltd,,,3.6,23 Ratings,"100 Feet Road Tatabad, Coimbatore",,,Mobile Phone Repair & Services|AC Repair & Services,true,true,false,true,false,AC Repair & Services,"Thiruvenkadam Street, Coimbatore",2025-05-28T06:57:48.463Z
Smart Hvac Care,+,,4.7,17 Ratings,"W Periasamy Road Rs Puram, Coimbatore",,,AC Repair & Services|Split AC Repair & Services,true,true,false,false,false,AC Repair & Services,"Thiruvenkadam Street, Coimbatore",2025-05-28T06:57:48.463Z
Annai Air Conditioner,,,4.8,13 Ratings,"4126th St Ext Gandhipuram, Coimbatore",,,AC Repair & Services|Electronic Goods Repair & Services,true,true,false,false,true,AC Repair & Services,"Thiruvenkadam Street, Coimbatore",2025-05-28T06:57:48.463Z
Stay Cool,+,,4.7,13 Ratings,"Naidu Street Sivananda Colony, Coimbatore",,,AC Repair & Services|AC Installation Services,true,true,false,false,true,AC Repair & Services,"Thiruvenkadam Street, Coimbatore",2025-05-28T06:57:48.463Z
Mani Electronics Service,,,4.0,15 Ratings,"Flower Market Coimbatore Ho, Coimbatore",,,Washing Machine Repair & Services-IFB|AC Repair & Services,true,true,false,false,false,AC Repair & Services,"Thiruvenkadam Street, Coimbatore",2025-05-28T06:57:48.463Z
Abiman Associates,+,,3.9,15 Ratings,"Narayanaguru Road Saibaba Colony, Coimbatore",,,AC Dealers-Carrier|AC Repair & Services,true,true,false,true,false,AC Repair & Services,"Thiruvenkadam Street, Coimbatore",2025-05-28T06:57:48.463Z
Shree Pon Refrigeration,,,3.0,19 Ratings,"Alagesan Road Saibaba Colony, Coimbatore",,,AC Repair & Services|Washing Machine Repair & Services,true,true,false,true,false,AC Repair & Services,"Thiruvenkadam Street, Coimbatore",2025-05-28T06:57:48.463Z
Vijaya Cooler,,,3.8,15 Ratings,"Extension Gandhipuram Coimbatore, Coimbatore",,,AC Repair & Services|Refrigerator Repair & Services,true,true,false,false,false,AC Repair & Services,"Thiruvenkadam Street, Coimbatore",2025-05-28T06:57:48.463Z
Cool Z Cool,+,,4.5,11 Ratings,"Sampath Street Rathinapuri, Coimbatore",,,AC Repair & Services|Electronic Goods Repair & Services,true,true,false,false,false,AC Repair & Services,"Thiruvenkadam Street, Coimbatore",2025-05-28T06:57:48.463Z
Run And Win Technologies,,,4.5,11 Ratings,"Layout Sivananda Colony, Coimbatore",,,AC Repair & Services|AC Repair & Services-LG,true,true,false,false,false,AC Repair & Services,"Thiruvenkadam Street, Coimbatore",2025-05-28T06:57:48.463Z
Hindustan Air Conditioner & Refrigeration,+,,4.6,10 Ratings,"Vcv Layout Factory Sales, Coimbatore",,,AC Repair & Services|AC Installation Services,true,true,false,false,false,AC Repair & Services,"Thiruvenkadam Street, Coimbatore",2025-05-28T06:57:48.463Z
Repair Boyz,+,,4.5,9 Ratings,"Kalidas Road Ram Nagar, Coimbatore",,,Home Appliance Repair & Services-Philips|AC Repair & Services,true,true,false,false,true,AC Repair & Services,"Thiruvenkadam Street, Coimbatore",2025-05-28T06:57:48.463Z
Chills Park,+,,4.7,7 Ratings,"Road East RS Puram Coimbatore, Coimbatore",,,Refrigerator Repair & Services-Videocon|AC Repair & Services,true,true,false,false,true,AC Repair & Services,"Thiruvenkadam Street, Coimbatore",2025-05-28T06:57:48.463Z
P R Electricals Voltas Ltd,,,4.0,8 Ratings,"Nehru Street Ram Nagar, Coimbatore",,,Car AC Repair & Services|AC Repair & Services,true,true,false,false,false,AC Repair & Services,"Thiruvenkadam Street, Coimbatore",2025-05-28T06:57:48.463Z
Aircon Cool Service Center,+,,4.7,6 Ratings,"Main Road RS Puram Coimbatore, Coimbatore",,,AC Repair & Services-Voltas|AC Repair & Services,true,true,false,false,true,AC Repair & Services,"Thiruvenkadam Street, Coimbatore",2025-05-28T06:57:48.463Z
Akil Electronics,,,4.5,6 Ratings,"Road Rs Puram Coimbatore, Coimbatore",,,Electronic Goods Showrooms|AC Repair & Services,true,true,false,false,false,AC Repair & Services,"Thiruvenkadam Street, Coimbatore",2025-05-28T06:57:48.463Z
ATM Coolers,+,,4.3,6 Ratings,"Street Gandhipuram Coimbatore, Coimbatore",,,AC Repair & Services|AC Installation Services,true,true,false,false,true,AC Repair & Services,"Thiruvenkadam Street, Coimbatore",2025-05-28T06:57:48.463Z
Fujiaire AIR Conditioners,+,,5.0,5 Ratings,"Raju Naidu Road Tatabad, Coimbatore",,,Central AC Dealers|AC Repair & Services,true,true,false,false,true,AC Repair & Services,"Thiruvenkadam Street, Coimbatore",2025-05-28T06:57:48.463Z
Snow Tech,+,,4.6,5 Ratings,"Road East RS Puram Coimbatore, Coimbatore",,,AC Repair & Services-Daikin|AC Repair & Services,true,true,false,false,true,AC Repair & Services,"Thiruvenkadam Street, Coimbatore",2025-05-28T06:57:48.463Z
Shree Pon Refigeration,+,,4.4,5 Ratings,"First Street Saibaba Colony, Coimbatore",,,AC Dealers-Whirlpool|AC Repair & Services,true,true,false,false,true,AC Repair & Services,"Thiruvenkadam Street, Coimbatore",2025-05-28T06:57:48.463Z
Wilcox Quicker,+,,3.1,7 Ratings,"Street Gandhipuram Coimbatore, Coimbatore",,,Washing Machine Repair & Services|AC Repair & Services,true,true,false,false,false,AC Repair & Services,"Thiruvenkadam Street, Coimbatore",2025-05-28T06:57:48.464Z
Ds Electronics,,,3.8,5 Ratings,"Mettupalayam Road Saibaba Koil, Coimbatore",,,Electronic Goods Repair & Services|AC Repair & Services,true,true,false,false,false,AC Repair & Services,"Thiruvenkadam Street, Coimbatore",2025-05-28T06:57:48.464Z
Smart Air Conditioner,,,4.2,4 Ratings,"Road RS Puram Coimbatore, Coimbatore",,,AC Repair & Services|Electronic Goods Repair & Services,false,true,false,false,false,AC Repair & Services,"Thiruvenkadam Street, Coimbatore",2025-05-28T06:57:48.464Z
Fks Cool World,+,,4.2,4 Ratings,"Road Gandhipuram Coimbatore, Coimbatore",,,AC Repair & Services|Washing Machine Repair & Services,true,true,false,false,true,AC Repair & Services,"Thiruvenkadam Street, Coimbatore",2025-05-28T06:57:48.464Z
Rehoboth Enterprises,+,,4.2,4 Ratings,"Street RS Puram Coimbatore, Coimbatore",,,AC Repair & Services-Daikin|AC Repair & Services,true,true,false,false,true,AC Repair & Services,"Thiruvenkadam Street, Coimbatore",2025-05-28T06:57:48.464Z
Aerotech Engineers,,,4.3,3 Ratings,"Road RS Puram Coimbatore, Coimbatore",,,AC Repair & Services|AC Installation Services,true,true,false,false,false,AC Repair & Services,"Thiruvenkadam Street, Coimbatore",2025-05-28T06:57:48.464Z
Aadarsh Aircon,+,,4.3,3 Ratings,"Rondy Street RS Puram Coimbatore, Coimbatore",,,AC Repair & Services-Daikin|AC Repair & Services,true,true,false,false,true,AC Repair & Services,"Thiruvenkadam Street, Coimbatore",2025-05-28T06:57:48.464Z
Vk Engineering,,,4.3,3 Ratings,"Sivananda Colony, Coimbatore",,,AC Repair & Services,false,true,false,false,false,AC Repair & Services,"Thiruvenkadam Street, Coimbatore",2025-05-28T06:57:48.464Z
Arul Ac Service,,,4.3,3 Ratings,"Bahadur Road RS Puram Coimbatore, Coimbatore",,,AC Repair & Services|Electronic Goods Repair & Services,false,true,false,false,false,AC Repair & Services,"Thiruvenkadam Street, Coimbatore",2025-05-28T06:57:48.464Z
Comfort World,,,4.3,3 Ratings,"Coimbatore Nvn Layout, Coimbatore",,,AC Repair & Services,false,true,false,false,false,AC Repair & Services,"Thiruvenkadam Street, Coimbatore",2025-05-28T06:57:48.464Z
Sai Vinayak Spares and Service,,,5.0,2 Ratings,"Byepass Road Sivananda Colony, Coimbatore",,,AC Repair & Services|Electronic Goods Repair & Services,true,true,false,false,false,AC Repair & Services,"Thiruvenkadam Street, Coimbatore",2025-05-28T06:57:48.464Z
Ivan Engineering Service,,,5.0,2 Ratings,"Road RS Puram Coimbatore, Coimbatore",,,AC Repair & Services-Daikin|AC Repair & Services,true,true,false,false,false,AC Repair & Services,"Thiruvenkadam Street, Coimbatore",2025-05-28T06:57:48.464Z
Ever Cool Refrigeration,,,5.0,2 Ratings,"Gandhipuram Coimbatore, Coimbatore",,,AC Repair & Services|Washing Machine Repair & Services,true,true,false,false,true,AC Repair & Services,"Thiruvenkadam Street, Coimbatore",2025-05-28T06:57:48.464Z
Cool Well Service,,,5.0,2 Ratings,"Layout Gandhipuram Coimbatore, Coimbatore",,,AC Repair & Services|Washing Machine Repair & Services,true,true,false,false,false,AC Repair & Services,"Thiruvenkadam Street, Coimbatore",2025-05-28T06:57:48.464Z
Sagar Electronics,,,5.0,2 Ratings,"Road RS Puram Coimbatore, Coimbatore",,,Split AC Repair & Services|AC Repair & Services,true,true,false,false,false,AC Repair & Services,"Thiruvenkadam Street, Coimbatore",2025-05-28T06:57:48.464Z
Crystal Symphony,,,5.0,2 Ratings,"No 122 Sanganur, Coimbatore",,,Air Cooler Repair & Services-Mccoy|AC Repair & Services,true,true,false,false,true,AC Repair & Services,"Thiruvenkadam Street, Coimbatore",2025-05-28T06:57:48.464Z
Nigel Georej Authored,,,4.0,2 Ratings,"road RS Puram Coimbatore, Coimbatore",,,AC Repair & Services|Washing Machine Repair & Services,true,true,false,false,false,AC Repair & Services,"Thiruvenkadam Street, Coimbatore",2025-05-28T06:57:48.464Z
N S AIR Conditioners,,,4.0,2 Ratings,"Brown Road RS Puram Coimbatore, Coimbatore",,,AC Repair & Services|AC Dealers,true,true,false,false,false,AC Repair & Services,"Thiruvenkadam Street, Coimbatore",2025-05-28T06:57:48.464Z
A V Electronicals Service,+,,3.8,2 Ratings,"Road RS Puram Coimbatore, Coimbatore",,,AC Repair & Services|Washing Machine Repair & Services,true,true,false,false,false,AC Repair & Services,"Thiruvenkadam Street, Coimbatore",2025-05-28T06:57:48.464Z
Zenith services,,,3.5,2 Ratings,"Street Gandhipuram Coimbatore, Coimbatore",,,AC Repair & Services|Washing Machine Repair & Services,true,true,false,false,false,AC Repair & Services,"Thiruvenkadam Street, Coimbatore",2025-05-28T06:57:48.464Z
N-s Air Conditioners,,,3.5,2 Ratings,"Rd Gandhipuram Coimbatore, Coimbatore",,,AC Repair & Services-Daikin|AC Repair & Services,true,true,false,false,false,AC Repair & Services,"Thiruvenkadam Street, Coimbatore",2025-05-28T06:57:48.464Z
Anandh Ac Service,,,5.0,1 Ratings,"NSR Road Saibaba Colony, Coimbatore",,,AC Repair & Services|AC Installation Services,true,true,false,false,true,AC Repair & Services,"Thiruvenkadam Street, Coimbatore",2025-05-28T06:57:48.464Z
Nigel Ivan Engineering Service,,,5.0,1 Ratings,"Road RS Puram Coimbatore, Coimbatore",,,AC Repair & Services|Refrigerator Repair & Services,false,true,false,false,false,AC Repair & Services,"Thiruvenkadam Street, Coimbatore",2025-05-28T06:57:48.464Z
G Muthu Ac Repair And Services,+,,5.0,1 Ratings,"Street RS Puram Coimbatore, Coimbatore",,,AC Repair & Services|Labour Contractors,true,true,false,false,false,AC Repair & Services,"Thiruvenkadam Street, Coimbatore",2025-05-28T06:57:48.464Z
Ogeneral Ac Repair,,,4.5,1 Ratings,"Sastri Road Ram Nagar, Coimbatore",,,AC Repair & Services|Electronic Goods Repair & Services,true,true,false,false,false,AC Repair & Services,"Thiruvenkadam Street, Coimbatore",2025-05-28T06:57:48.464Z
N Secure Vision,+,,4.5,1 Ratings,"6th Street Extension Tatabad, Coimbatore",,,Company Authorised Dealer,true,true,false,false,true,AC Repair & Services,"Thiruvenkadam Street, Coimbatore",2025-05-28T06:57:48.464Z
Sai Ram Associates,+,,4.0,1 Ratings,"Road Rs Puram Coimbatore, Coimbatore",,,AC Repair & Services-Hitachi|AC Repair & Services,false,true,false,false,false,AC Repair & Services,"Thiruvenkadam Street, Coimbatore",2025-05-28T06:57:48.464Z
